et,brisque
1718532141,39.77443
1718532142,39.64306
1718532143,38.77938
1718532144,44.58993
1718532145,44.10914
1718532146,43.67352
1718532147,42.8562
1718532148,43.77019
1718532149,45.03195
1718532150,43.83538
1718532151,43.47733
1718532152,43.19789
1718532153,44.1415
1718532154,40.73604
1718532155,40.5575
1718532156,40.0735
1718532157,39.48503
1718532158,39.13136
1718532159,39.70604
1718532160,44.94824
1718532161,43.91043
1718532162,43.52987
1718532163,43.98352
1718532164,42.46229
1718532165,42.82194
1718532166,41.68522
1718532167,43.42836
1718532168,44.69056
1718532169,43.93983
1718532170,44.12074
1718532171,44.72504
1718532172,43.85621
1718532173,43.17202
1718532174,43.64478
1718532175,41.49977
1718532176,39.68163
1718532177,40.26751
1718532178,42.25828
1718532179,39.50113
1718532180,36.53121
1718532181,39.56572
1718532182,41.40145
1718532183,44.13906
1718532184,42.5318
1718532185,43.4252
1718532186,43.45631
1718532187,43.67633
1718532188,42.89701
1718532189,43.26097
1718532190,43.37813
1718532191,42.71428
1718532192,42.90658
1718532193,43.03816
1718532194,43.06662
1718532195,42.62024
1718532196,40.61116
1718532197,39.65007
1718532198,38.62239
1718532199,37.69567
1718532200,43.88876
1718532201,42.7578
1718532202,40.724
1718532203,45.85089
1718532204,46.07469
1718532205,46.36408
1718532206,44.97323
1718532207,45.50414
1718532208,45.07014
1718532209,44.72519
1718532210,44.28451
1718532211,44.6694
1718532212,43.56098
1718532213,42.49978
1718532214,41.86636
1718532215,41.21129
1718532216,39.6809
1718532217,41.88332
1718532218,46.98308
1718532219,46.06277
1718532220,46.87453
1718532221,45.88188
1718532222,46.15746
1718532223,46.30406
1718532224,44.98861
1718532225,46.32713
1718532226,44.94399
1718532227,46.42113
1718532228,46.25865
1718532229,44.89215
1718532230,43.78133
1718532231,43.02959
1718532232,42.29702
1718532233,42.2913
1718532234,42.44248
1718532235,41.73319
1718532236,41.63361
1718532237,41.60604
1718532238,41.30614
1718532239,46.68144
1718532240,45.95032
1718532241,45.56824
1718532242,45.92588
1718532243,46.29319
1718532244,45.6085
1718532245,45.45187
1718532246,43.98367
1718532247,42.69185
1718532248,41.62925
1718532249,41.98493
1718532250,42.07193
1718532251,41.66572
1718532252,41.62747
1718532253,47.17709
1718532254,46.37513
1718532255,46.23318
1718532256,45.36963
1718532257,46.24106
1718532258,46.17162
1718532259,45.75322
1718532260,44.40408
1718532261,46.3189
1718532262,45.61998
1718532263,46.46822
1718532264,45.99041
1718532265,46.21437
1718532266,43.77815
1718532267,43.59026
1718532268,43.00895
1718532269,42.04888
1718532270,41.14139
1718532271,40.98736
1718532272,40.80202
1718532273,40.81565
1718532274,40.58026
1718532275,46.851
1718532276,46.61736
1718532277,46.37603
1718532278,47.07314
1718532279,45.58917
1718532280,45.40085
1718532281,45.1858
1718532282,45.87006
1718532283,45.43256
1718532284,45.21984
1718532285,44.61375
1718532286,43.42111
1718532287,42.16719
1718532288,41.46521
1718532289,41.57239
1718532290,41.46371
1718532291,41.82205
1718532292,47.37934
1718532293,46.08928
1718532294,45.75441
1718532295,45.67817
1718532296,44.99974
1718532297,45.86964
1718532298,45.31872
1718532299,45.30102
1718532300,45.81231
1718532301,42.16981
1718532302,42.0085
1718532303,41.75526
1718532304,41.09243
1718532305,41.20664
1718532306,41.2603
1718532307,40.91905
1718532308,46.61947
1718532309,47.12387
1718532310,46.00997
1718532311,45.72473
1718532312,45.76446
1718532313,45.64478
1718532314,45.59469
1718532315,46.14385
1718532316,45.85075
1718532317,45.35901
1718532318,45.07767
1718532319,45.20403
1718532320,45.40843
1718532321,45.14335
1718532322,45.44451
1718532323,45.53013
1718532324,42.77653
1718532325,42.23022
1718532326,41.98538
1718532327,41.52112
1718532328,40.76469
1718532329,40.85987
1718532330,40.56683
1718532331,47.02862
1718532332,45.46719
1718532333,46.11131
1718532334,44.0463
1718532335,45.4685
1718532336,45.41469
1718532337,45.66192
1718532338,45.25672
1718532339,42.33397
1718532340,41.62756
1718532341,41.17023
1718532342,41.22073
1718532343,40.82619
1718532344,41.07191
1718532345,41.2225
1718532346,46.76626
1718532347,45.2396
1718532348,44.90925
1718532349,45.43785
1718532350,44.98206
1718532351,45.02783
1718532352,44.86657
1718532353,44.66415
1718532354,42.36045
1718532355,41.54361
1718532356,41.10698
1718532357,40.63027
1718532358,40.92195
1718532359,39.75192
1718532360,40.48959
1718532361,40.3815
1718532362,44.99267
1718532363,44.63272
1718532364,44.55266
1718532365,44.72336
1718532366,44.58804
1718532367,45.0282
1718532368,45.65038
1718532369,45.32594
1718532370,45.09009
1718532371,45.41317
1718532372,44.75894
1718532373,44.95026
1718532374,46.01023
1718532375,42.73176
1718532376,42.06241
1718532377,41.92538
1718532378,41.78263
1718532379,41.63402
1718532380,41.93093
1718532381,41.40339
1718532382,41.50046
