et,brisque,piqe
1718544838,36.66149,28.18726
1718544839,37.22496,28.90743
1718544840,36.81087,27.94297
1718544841,36.91375,29.27157
1718544842,36.75987,28.92166
1718544843,36.96719,28.21449
1718544844,35.48976,28.82138
1718544845,35.77888,28.15078
1718544846,36.40924,27.93306
1718544847,36.03958,28.02487
1718544848,36.03042,27.94558
1718544849,36.54967,28.34092
1718544850,36.48602,28.50782
1718544851,36.01602,27.11158
1718544852,36.58881,29.97891
1718544853,36.46061,27.96167
1718544854,36.03732,27.66532
1718544855,36.42365,29.00209
1718544856,36.61805,29.05534
1718544857,36.50087,27.94712
1718544858,36.39055,28.40575
1718544859,35.74205,28.22959
1718544860,36.15821,27.54514
1718544861,36.18814,28.78439
1718544862,36.44272,28.17461
1718544863,36.28616,27.4866
1718544864,37.91939,30.07638
1718544865,37.6314,28.84916
1718544866,37.95515,27.44511
1718544867,37.30572,26.60418
1718544868,37.26324,27.75157
1718544869,38.51092,28.84208
1718544870,38.14783,28.89223
1718544871,37.85683,29.67938
1718544872,37.85332,27.92413
1718544873,37.99864,29.73144
1718544874,37.36349,28.88517
1718544875,37.09866,29.71648
1718544876,37.4364,27.98942
1718544877,37.06122,29.79681
1718544878,37.40935,28.72059
1718544879,38.09457,28.04364
1718544880,37.79185,29.42338
1718544881,38.00286,28.67653
1718544882,37.54314,28.2632
1718544883,37.86622,28.18257
1718544884,37.63088,29.23319
1718544885,37.60501,27.74763
1718544886,37.59157,27.78744
1718544887,37.84792,28.51846
1718544888,37.60236,29.375
1718544889,37.52822,28.35789
1718544890,37.5824,28.24799
1718544891,37.32644,28.03604
1718544892,39.5611,29.87045
1718544893,38.54913,29.99112
1718544894,38.13683,29.62212
1718544895,37.60298,28.82546
1718544896,37.77884,28.46555
1718544897,37.74082,29.04899
1718544898,39.01822,28.73072
1718544899,38.73409,28.82763
1718544900,37.93565,28.58024
1718544901,38.00281,29.43235
1718544902,37.87039,27.88905
1718544903,37.8934,28.26485
1718544904,37.37403,27.54054
1718544905,37.53476,28.38158
1718544906,37.51863,28.79148
1718544907,36.81175,28.43966
1718544908,37.15691,27.73628
1718544909,37.1881,27.99952
1718544910,36.89597,28.34389
1718544911,37.21209,27.8451
1718544912,37.27292,28.40972
1718544913,37.06012,29.33438
1718544914,37.2141,29.06163
1718544915,37.04685,27.55131
1718544916,37.07123,27.5661
1718544917,37.13573,27.89342
1718544918,36.96588,27.00839
1718544919,36.69005,27.96679
1718544920,37.08343,27.73162
1718544921,37.24906,28.57282
1718544922,36.94058,26.83934
1718544923,37.00587,28.70519
1718544924,36.98177,29.21616
1718544925,39.25195,30.18086
1718544926,38.40251,29.1186
1718544927,38.39375,27.42326
1718544928,38.1154,28.61321
1718544929,38.0901,28.74027
1718544930,37.65616,27.29403
1718544931,37.30882,28.33844
1718544932,37.42162,29.6586
1718544933,37.51715,28.22454
1718544934,37.9755,29.58421
1718544935,37.3123,27.5896
1718544936,37.2627,27.3465
1718544937,37.25777,25.49376
1718544938,36.70544,27.01435
1718544939,36.61189,28.90609
1718544940,36.69221,28.38881
1718544941,38.01035,29.49815
1718544942,37.33158,29.86253
1718544943,36.81119,29.14766
1718544944,36.65362,29.19504
1718544945,36.76644,29.38109
1718544946,36.59533,28.03034
1718544947,36.57509,28.81927
