fps,et,screenshots_num
6,1718612331,11
19,1718612332,37
18,1718612333,36
18,1718612334,41
20,1718612335,37
20,1718612336,35
18,1718612337,39
21,1718612338,37
18,1718612339,41
21,1718612340,37
21,1718612341,34
20,1718612342,39
19,1718612343,38
19,1718612344,39
20,1718612345,38
19,1718612346,39
21,1718612347,37
20,1718612348,37
20,1718612349,37
20,1718612350,37
19,1718612351,38
19,1718612352,38
18,1718612353,39
20,1718612354,38
20,1718612355,39
20,1718612356,38
18,1718612357,38
19,1718612358,37
20,1718612359,38
20,1718612360,40
19,1718612361,39
20,1718612362,38
20,1718612363,40
19,1718612364,38
20,1718612365,38
20,1718612366,40
19,1718612367,41
21,1718612368,38
20,1718612369,41
19,1718612370,38
20,1718612371,39
19,1718612372,39
20,1718612373,38
21,1718612374,37
19,1718612375,38
20,1718612376,39
20,1718612377,38
20,1718612378,38
20,1718612379,39
20,1718612380,36
19,1718612381,39
19,1718612382,38
20,1718612383,38
20,1718612384,38
19,1718612385,38
19,1718612386,40
18,1718612387,41
20,1718612388,38
22,1718612389,38
18,1718612390,39
20,1718612391,38
20,1718612392,39
20,1718612393,39
21,1718612394,39
18,1718612395,38
20,1718612396,40
20,1718612397,39
19,1718612398,40
20,1718612399,38
19,1718612400,39
19,1718612401,34
20,1718612402,40
20,1718612403,40
20,1718612404,40
20,1718612405,41
21,1718612406,38
19,1718612407,39
19,1718612408,38
20,1718612409,40
21,1718612410,38
20,1718612411,38
19,1718612412,40
21,1718612413,38
19,1718612414,38
20,1718612415,39
20,1718612416,39
20,1718612417,40
19,1718612418,38
20,1718612419,37
20,1718612420,38
19,1718612421,38
20,1718612422,38
19,1718612423,38
19,1718612424,38
19,1718612425,39
18,1718612426,40
21,1718612427,36
19,1718612428,36
19,1718612429,37
21,1718612430,38
18,1718612431,38
20,1718612432,38
20,1718612433,39
19,1718612434,37
20,1718612435,39
20,1718612436,38
19,1718612437,41
19,1718612438,38
20,1718612439,40
20,1718612440,40
19,1718612441,40
21,1718612442,37
18,1718612443,39
19,1718612444,37
20,1718612445,38
19,1718612446,38
20,1718612447,39
13,1718612448,44
22,1718612449,37
22,1718612450,36
21,1718612451,37
18,1718612452,37
21,1718612453,40
18,1718612454,39
19,1718612455,38
21,1718612456,38
20,1718612457,40
19,1718612458,38
20,1718612459,41
20,1718612460,39
19,1718612461,34
20,1718612462,40
19,1718612463,39
20,1718612464,37
20,1718612465,41
20,1718612466,38
19,1718612467,38
17,1718612468,40
22,1718612469,35
15,1718612470,46
20,1718612471,38
20,1718612472,43
15,1718612473,44
20,1718612474,38
11,1718612475,45
15,1718612476,43
9,1718612477,47
9,1718612478,50
11,1718612479,46
18,1718612480,41
18,1718612481,39
19,1718612482,39
23,1718612483,34
21,1718612484,38
20,1718612485,39
20,1718612486,40
20,1718612487,38
20,1718612488,38
20,1718612489,39
20,1718612490,40
20,1718612491,38
20,1718612492,38
18,1718612493,38
20,1718612494,40
20,1718612495,38
21,1718612496,39
19,1718612497,36
19,1718612498,43
20,1718612499,40
20,1718612500,39
20,1718612501,38
20,1718612502,39
19,1718612503,38
19,1718612504,38
20,1718612505,39
20,1718612506,38
17,1718612507,41
21,1718612508,40
19,1718612509,37
20,1718612510,39
19,1718612511,39
19,1718612512,39
20,1718612513,40
19,1718612514,40
20,1718612515,37
20,1718612516,43
20,1718612517,39
19,1718612518,39
20,1718612519,39
20,1718612520,39
20,1718612521,33
19,1718612522,37
19,1718612523,37
19,1718612524,38
20,1718612525,40
20,1718612526,37
20,1718612527,40
20,1718612528,38
20,1718612529,37
19,1718612530,37
19,1718612531,39
19,1718612532,41
20,1718612533,38
20,1718612534,38
20,1718612535,39
21,1718612536,39
18,1718612537,41
20,1718612538,38
20,1718612539,39
20,1718612540,38
19,1718612541,41
19,1718612542,40
17,1718612543,41
9,1718612544,49
4,1718612545,54
6,1718612546,52
10,1718612547,49
15,1718612548,43
20,1718612549,37
23,1718612550,33
22,1718612551,37
22,1718612552,38
21,1718612553,37
22,1718612554,37
21,1718612555,38
19,1718612556,41
19,1718612557,36
18,1718612558,33
20,1718612559,37
18,1718612560,37
21,1718612561,36
20,1718612562,39
19,1718612563,38
20,1718612564,39
20,1718612565,38
19,1718612566,38
20,1718612567,38
20,1718612568,38
20,1718612569,39
20,1718612570,41
19,1718612571,39
19,1718612572,37
