bps,et
878320,1714917348
880880,1714917349
871680,1714917350
890560,1714917352
894560,1714917353
896320,1714917354
896320,1714917355
900480,1714917356
902640,1714917357
9080000,1714917358
922320,1714917359
906400,1714917361
912032000,1714917362
920800,1714917363
922320,1714917365
923840,1714917366
936320,1714917367
948000,1714917368
954640,1714917369
952400,1714917371
958880,1714917373
968400,1714917374
965040,1714917375
969200,1714917376
969600,1714917377
969280,1714917378
974000,1714917379
979360,1714917380
977360,1714917381
977360,1714917382
974560,1714917383
906160,1714917384
826960,1714917385
744880,1714917386
666000,1714917387
582960,1714917388
498800,1714917389
414080,1714917390
326480,1714917391
313360,1714917392
304000,1714917393
297280,1714917394
286400,1714917395
279280,1714917396
273440,1714917397
273440,1714917398
268880,1714917399
269600,1714917400
271040,1714917401
282880,1714917402
292480,1714917403
302720,1714917404
312320,1714917405
328880,1714917406
34064000,1714917407
352160,1714917408
355920,1714917409
353520,1714917410
350080,1714917411
351040,1714917412
344240,1714917413
327040,1714917414
303920,1714917415
286560,1714917416
273440,1714917417
270160,1714917418
263200,1714917419
257279,1714917420
259360,1714917421
269280,1714917422
282160,1714917423
293040,1714917424
304240,1714917425
310080,1714917426
321680,1714917427
333120,1714917428
343120,1714917429
352720,1714917430
366960,1714917431
384080,1714917432
405120,1714917433
426000,1714917434
443920,1714917435
464880,1714917436
481680,1714917437
497760,1714917438
497760,1714917439
515679,1714917440
531920,1714917441
544720,1714917442
561520,1714917443
577280,1714917444
601280,1714917445
632960,1714917446
652320,1714917447
673200,1714917448
687760,1714917449
706320,1714917450
719520,1714917451
728960,1714917452
728720,1714917453
728560,1714917454
733600,1714917455
739760,1714917456
742480,1714917457
744800,1714917458
746160,1714917459
749680,1714917460
756480,1714917461
761120,1714917462
764880,1714917463
764640,1714917464
770400,1714917465
770640,1714917466
770640,1714917467
773360,1714917468
776640,1714917469
776000,1714917470
780320,1714917471
783680,1714917472
785440,1714917473
786720,1714917474
790000,1714917475
790000,1714917476
792800,1714917477
793440,1714917478
796880,1714917479
765680,1714917480
736640,1714917481
716080,1714917482
697280,1714917483
681760,1714917484
667120,1714917485
661120,1714917486
652560,1714917487
680080,1714917488
708640,1714917489
706960,1714917490
664960,1714917491
6016000,1714917492
576160,1714917493
521520,1714917494
470560,1714917495
414640,1714917496
355600,1714917497
311600,1714917498
300880,1714917499
292960,1714917500
285440,1714917501
27632000,1714917502
2680000,1714917503
261040,1714917504
26008000,1714917505
262480,1714917506
273760,1714917507
281760,1714917508
296880,1714917509
303040,1714917510
312480,1714917511
322560,1714917512
325200,1714917513
333360,1714917514
342800,1714917515
352640,1714917516
343680,1714917517
366560,1714917518
35648000,1714917519
346160,1714917520
342000,1714917521
34016000,1714917522
326800,1714917523
315840,1714917524
316640,1714917525
299520,1714917526
312960,1714917527
323840,1714917528
334080,1714917529
338000,1714917530
338000,1714917531
351680,1714917532
365840,1714917533
376400,1714917534
385440,1714917535
397680,1714917536
410080,1714917537
420320,1714917538
435280,1714917539
449360,1714917540
462480,1714917541
477680,1714917542
496320,1714917543
511840,1714917544
533760,1714917545
556000,1714917546
585520,1714917547
605360,1714917548
626720,1714917549
646560,1714917550
667680,1714917551
683840,1714917552
693280,1714917553
707520,1714917554
705360,1714917555
712080,1714917556
716640,1714917557
724240,1714917558
724240,1714917559
722560,1714917560
729840,1714917561
734320,1714917562
729200,1714917563
73896000,1714917564
742640,1714917565
744320,1714917566
744080,1714917567
743360,1714917568
688320,1714917569
635200,1714917570
583520,1714917571
525680,1714917572
474160,1714917573
421120,1714917574
367840,1714917575
317520,1714917576
314960,1714917577
313120,1714917578
305920,1714917579
295760,1714917580
295760,1714917581
287280,1714917582
281520,1714917583
27608000,1714917584
273280,1714917585
271760,1714917586
280560,1714917587
28416000,1714917588
297760,1714917589
308560,1714917590
