fps,et
10,1714917838
18,1714917839
20,1714917840
19,1714917841
20,1714917842
20,1714917843
18,1714917844
20,1714917845
20,1714917846
19,1714917847
19,1714917848
20,1714917849
17,1714917850
22,1714917851
20,1714917852
20,1714917853
20,1714917854
19,1714917855
20,1714917856
20,1714917857
20,1714917858
9,1714917859
1,1714917860
0,1714917861
0,1714917862
0,1714917863
2,1714917864
11,1714917865
15,1714917866
12,1714917867
15,1714917868
18,1714917869
18,1714917870
5,1714917871
6,1714917872
17,1714917873
15,1714917874
14,1714917875
13,1714917876
15,1714917877
16,1714917878
12,1714917879
11,1714917880
14,1714917881
16,1714917882
18,1714917883
17,1714917884
15,1714917885
18,1714917886
16,1714917887
17,1714917888
16,1714917889
17,1714917890
19,1714917891
14,1714917892
16,1714917893
14,1714917894
16,1714917895
14,1714917896
14,1714917897
14,1714917898
10,1714917899
14,1714917900
8,1714917901
18,1714917902
16,1714917903
14,1714917904
12,1714917905
14,1714917906
16,1714917907
19,1714917908
17,1714917909
18,1714917910
11,1714917911
17,1714917912
18,1714917913
17,1714917914
15,1714917915
14,1714917916
15,1714917917
14,1714917918
16,1714917919
14,1714917920
16,1714917921
15,1714917922
14,1714917923
14,1714917924
14,1714917925
0,1714917926
14,1714917927
18,1714917928
16,1714917929
20,1714917930
16,1714917931
18,1714917932
15,1714917933
14,1714917934
15,1714917935
14,1714917936
16,1714917937
15,1714917938
16,1714917939
15,1714917940
14,1714917941
15,1714917942
15,1714917943
15,1714917944
15,1714917945
13,1714917946
14,1714917947
16,1714917948
14,1714917949
15,1714917950
16,1714917951
15,1714917952
14,1714917953
16,1714917954
12,1714917955
16,1714917956
15,1714917957
15,1714917958
12,1714917959
20,1714917960
18,1714917961
21,1714917962
19,1714917963
20,1714917964
19,1714917965
20,1714917966
16,1714917967
19,1714917968
19,1714917969
19,1714917970
19,1714917971
20,1714917972
20,1714917973
21,1714917974
20,1714917975
18,1714917976
20,1714917977
20,1714917978
20,1714917979
19,1714917980
20,1714917981
20,1714917982
19,1714917983
20,1714917984
19,1714917985
19,1714917986
20,1714917987
20,1714917988
17,1714917989
20,1714917990
22,1714917991
20,1714917992
19,1714917993
20,1714917994
18,1714917995
19,1714917996
19,1714917997
21,1714917998
19,1714917999
19,1714918000
11,1714918001
3,1714918002
4,1714918003
2,1714918004
0,1714918005
4,1714918006
11,1714918007
17,1714918008
17,1714918009
17,1714918010
5,1714918011
10,1714918012
18,1714918013
18,1714918014
16,1714918015
17,1714918016
15,1714918017
14,1714918018
13,1714918019
0,1714918020
14,1714918021
14,1714918022
17,1714918023
16,1714918024
15,1714918025
17,1714918026
18,1714918027
17,1714918028
14,1714918029
17,1714918030
18,1714918031
14,1714918032
15,1714918033
16,1714918034
14,1714918035
16,1714918036
15,1714918037
15,1714918038
14,1714918039
16,1714918040
14,1714918041
13,1714918042
16,1714918043
14,1714918044
15,1714918045
15,1714918046
15,1714918047
16,1714918048
14,1714918049
15,1714918050
15,1714918051
13,1714918052
15,1714918053
14,1714918054
15,1714918055
16,1714918056
14,1714918057
16,1714918058
14,1714918059
14,1714918060
17,1714918061
15,1714918062
16,1714918063
22,1714918064
20,1714918065
18,1714918066
20,1714918067
19,1714918068
21,1714918069
16,1714918070
20,1714918071
21,1714918072
19,1714918073
20,1714918074
19,1714918075
20,1714918076
19,1714918077
19,1714918078
16,1714918079
9,1714918080
