bps,et
1996080,1717509171
2001760,1717509172
1992000,1717509173
1998400,1717509174
2004240,1717509175
1995360,1717509176
1992000,1717509177
1999040,1717509178
2002400,1717509179
1992000,1717509180
1991440,1717509181
1992960,1717509182
1987040,1717509183
1991760,1717509184
1992000,1717509185
1804640,1717509186
1582800,1717509187
1371120,1717509188
1150400,1717509189
927680,1717509190
713040,1717509191
486960,1717509192
262240,1717509193
238240,1717509194
238080,1717509195
270720,1717509196
272880,1717509197
288080,1717509198
298480,1717509199
301520,1717509200
311600,1717509201
325520,1717509202
340960,1717509203
326720,1717509204
348400,1717509205
361040,1717509206
361040,1717509207
386160,1717509208
428320,1717509209
450640,1717509210
479760,1717509211
515039,1717509212
555440,1717509213
597920,1717509214
639040,1717509215
684720,1717509216
725760,1717509217
778800,1717509218
827520,1717509219
870080,1717509220
914800,1717509221
953040,1717509222
993600,1717509223
1027119,1717509224
1061920,1717509225
1107760,1717509226
1144800,1717509227
1182240,1717509228
1211680,1717509229
1131040,1717509230
1023120,1717509231
912320,1717509232
792880,1717509233
662880,1717509234
562480,1717509235
422000,1717509236
281840,1717509237
253280,1717509238
248640,1717509239
243440,1717509240
247200,1717509241
241120,1717509242
210720,1717509243
210720,1717509244
220320,1717509245
232000,1717509246
238960,1717509247
254400,1717509248
272880,1717509249
285760,1717509250
309680,1717509251
332000,1717509252
332000,1717509253
354960,1717509254
375680,1717509255
423280,1717509256
431600,1717509257
461360,1717509258
487200,1717509259
521679,1717509260
555600,1717509261
592480,1717509262
639360,1717509263
671040,1717509264
738160,1717509265
784160,1717509266
852960,1717509267
875600,1717509268
925040,1717509269
972240,1717509270
1013120,1717509271
1043920,1717509272
1095840,1717509273
1140240,1717509274
1158960,1717509275
1218640,1717509276
1200160,1717509277
1086160,1717509278
970000,1717509279
859600,1717509280
722880,1717509281
587680,1717509282
459520,1717509283
325520,1717509284
239760,1717509285
240240,1717509286
239440,1717509287
239360,1717509288
230000,1717509289
223680,1717509290
221600,1717509291
227120,1717509292
227120,1717509293
228160,1717509294
248000,1717509295
249680,1717509296
264560,1717509297
290880,1717509298
319600,1717509299
344960,1717509300
368880,1717509301
412800,1717509302
422480,1717509303
467200,1717509304
504480,1717509305
540000,1717509306
578080,1717509307
623440,1717509308
674480,1717509309
710800,1717509310
773920,1717509311
826400,1717509312
867440,1717509313
916240,1717509314
964160,1717509315
1013440,1717509316
1060320,1717509317
1104960,1717509318
1146320,1717509319
1174560,1717509320
1208560,1717509321
1236080,1717509322
1258240,1717509323
1270960,1717509324
1276000,1717509325
1279920,1717509326
1282080,1717509327
1284560,1717509328
1284560,1717509329
1287520,1717509330
1294080,1717509331
1306000,1717509332
1302640,1717509333
1302560,1717509334
1305280,1717509335
1310000,1717509336
1312960,1717509337
1318160,1717509338
1316880,1717509339
1312240,1717509340
1323520,1717509341
1323600,1717509342
1327200,1717509343
1326400,1717509344
1330640,1717509345
1336160,1717509346
1339760,1717509347
1339760,1717509348
1344480,1717509349
1342000,1717509350
1350240,1717509351
1352640,1717509352
1354080,1717509353
1357200,1717509354
1357360,1717509355
1357840,1717509356
1359840,1717509357
1362720,1717509358
1363920,1717509359
1366720,1717509360
1370640,1717509361
1372560,1717509362
1375040,1717509363
1378640,1717509364
1379680,1717509365
1387200,1717509366
1391360,1717509367
1393120,1717509368
1400720,1717509369
1401200,1717509370
1406800,1717509371
1420480,1717509372
1419600,1717509373
1419040,1717509374
1423200,1717509375
1426480,1717509376
1422480,1717509377
1432400,1717509378
1436640,1717509379
1427200,1717509380
1439840,1717509381
1444000,1717509382
1445680,1717509383
1451040,1717509384
1458240,1717509385
1458160,1717509386
1459280,1717509387
1464560,1717509388
1466640,1717509389
1475840,1717509390
1474800,1717509391
1484400,1717509392
1479760,1717509393
1479760,1717509394
1485120,1717509395
1485040,1717509396
1490320,1717509397
1490960,1717509398
1489120,1717509399
1493040,1717509400
1493280,1717509401
1495360,1717509402
1504880,1717509403
1506480,1717509404
1508240,1717509405
1509280,1717509406
1512720,1717509407
1519280,1717509408
1522080,1717509409
1526720,1717509410
1525440,1717509411
1537040,1717509412
1541920,1717509413
