et,brisque,piqe
1719151543,51.348,29.94315
1719151544,50.6492,29.49332
1719151545,49.57516,30.15477
1719151546,49.57495,30.33821
1719151547,49.85443,30.27719
1719151548,50.34403,30.36264
1719151549,52.90528,34.08552
1719151550,56.08042,33.06834
1719151551,55.9515,33.11905
1719151552,60.89669,36.37384
1719151553,58.99073,36.18453
1719151554,59.04033,35.63866
1719151555,59.17878,36.41799
1719151556,59.08313,36.41637
1719151557,57.5192,34.14946
1719151558,57.54256,34.08906
1719151559,59.87997,35.81498
1719151560,58.85395,36.56271
1719151561,56.06191,33.76175
1719151562,55.45383,32.64206
1719151563,55.46259,32.80054
1719151564,55.46166,32.74209
1719151565,58.2994,36.54528
1719151566,60.62961,35.82966
1719151567,56.78167,34.3374
1719151568,56.7505,34.15487
1719151569,55.46253,34.91424
1719151570,56.36877,32.66587
1719151571,54.95748,31.56633
1719151572,52.86049,30.52673
1719151573,52.45005,31.4202
1719151574,52.16538,32.18175
1719151575,51.56148,29.67208
1719151576,51.46187,32.70119
1719151577,51.14122,31.54723
1719151578,51.95331,30.76318
1719151579,51.71498,30.01117
1719151580,51.36149,30.63798
1719151581,52.46428,31.16876
1719151582,51.72503,30.66647
1719151583,51.34139,30.32008
1719151584,51.17863,28.62302
1719151585,50.37195,29.51489
1719151586,52.85765,30.96182
1719151587,52.30967,30.42934
1719151588,51.97779,30.47053
1719151589,50.89525,30.2786
1719151590,51.99748,30.92093
1719151591,49.84582,29.90981
1719151592,50.52109,31.9129
1719151593,50.36291,31.40573
1719151594,50.35287,29.70618
1719151595,50.7208,29.86436
1719151596,50.55147,30.55036
1719151597,50.80484,31.26256
1719151598,52.76649,31.91025
1719151599,50.873,29.57785
1719151600,50.87959,30.20118
1719151601,50.5058,30.5285
1719151602,50.83373,31.27019
1719151603,51.43743,29.90511
1719151604,51.42829,30.76742
1719151605,51.15021,28.75164
1719151606,51.08208,31.44173
1719151607,50.53731,28.64155
1719151608,50.69893,29.97382
1719151609,50.17245,29.9564
1719151610,50.93967,31.27403
1719151611,50.76908,29.80067
1719151612,51.05507,30.66767
1719151613,51.18007,30.59792
1719151614,51.17333,29.80718
1719151615,50.85861,31.15612
1719151616,50.92722,29.18919
1719151617,51.84943,30.11942
1719151618,51.17189,30.07737
1719151619,51.38819,31.12559
1719151620,51.41851,30.24063
1719151621,52.24682,32.02364
1719151622,51.74097,30.79432
1719151623,51.80724,31.48388
1719151624,52.22865,30.67753
1719151625,51.05023,30.64766
1719151626,50.01075,28.52545
1719151627,50.67543,30.77101
1719151628,50.91671,29.62494
1719151629,50.95051,29.97836
1719151630,50.82917,29.68278
1719151631,57.18332,41.95351
1719151632,55.72709,39.07898
1719151633,55.44159,38.91533
1719151634,54.9831,39.34001
1719151635,60.12873,35.97095
1719151636,56.27312,33.59847
1719151637,55.0027,32.74575
1719151638,54.84388,31.4747
1719151639,55.07854,32.2354
1719151640,54.25178,31.84217
1719151641,54.48842,30.65905
1719151642,54.20179,31.94542
1719151643,57.18878,41.28302
1719151644,57.51837,39.5146
1719151645,55.57338,40.02011
1719151646,54.98985,39.46572
1719151647,54.78221,38.81434
1719151648,59.22935,35.25274
1719151649,56.21604,32.22858
1719151650,54.60073,32.39348
1719151651,54.66518,32.95375
1719151652,52.86898,28.95192
1719151653,52.18111,30.39867
1719151654,52.03865,29.04964
1719151655,51.34783,29.27122
1719151656,52.39437,29.05592
1719151657,52.3692,29.50505
1719151658,55.8172,39.19141
1719151659,55.04733,38.97948
1719151660,54.95523,40.52906
1719151661,54.54985,38.20436
1719151662,54.5648,39.05148
1719151663,57.13691,39.97262
1719151664,55.02975,40.0452
1719151665,53.34319,41.37102
1719151666,59.65597,37.45039
1719151667,55.57314,35.5091
1719151668,54.41811,33.9535
1719151669,53.56926,33.67616
1719151670,51.94112,32.26841
1719151671,51.89565,32.762
1719151672,52.17211,32.19904
1719151673,52.12653,33.73139
1719151674,51.84785,31.58219
1719151675,53.69055,33.16348
1719151676,53.96243,33.22936
1719151677,52.44346,32.43289
1719151678,51.93433,34.29572
1719151679,53.81828,32.76028
1719151680,52.11571,31.80667
1719151681,53.34492,32.22994
1719151682,51.84399,30.04537
1719151683,50.82445,31.42708
1719151684,51.26262,31.64168
1719151685,51.37235,31.13477
1719151686,50.85344,29.70961
1719151687,51.10061,30.92778
1719151688,50.06066,29.21939
1719151689,50.09529,28.86422
1719151690,50.68416,28.76054
1719151691,51.0005,29.9769
1719151692,54.31763,32.46105
1719151693,51.24927,29.64816
1719151694,51.21732,30.41038
1719151695,50.99634,30.26795
1719151696,50.86608,28.98406
1719151697,49.88741,28.70271
1719151698,50.20533,29.99089
1719151699,50.53622,30.46703
1719151700,50.39671,29.71077
1719151701,50.83398,31.24194
1719151702,50.77805,29.91308
1719151703,50.9765,28.61826
1719151704,50.51914,28.90131
1719151705,50.221,29.76997
1719151706,49.76749,29.92622
1719151707,50.24527,30.24476
1719151708,50.16593,30.81972
1719151709,50.55374,29.81088
1719151710,50.70921,29.86288
1719151711,50.37148,29.38244
1719151712,50.5002,29.99557
1719151713,50.4759,29.95628
1719151714,53.8793,31.72912
1719151715,49.56241,30.19359
1719151716,49.44519,30.76168
1719151717,50.21749,31.62848
1719151718,52.15863,31.16451
1719151719,50.87069,31.69808
1719151720,52.90971,32.85135
1719151721,50.40454,30.76408
1719151722,49.33934,30.82913
1719151723,48.79769,29.32311
1719151724,49.60865,30.57067
1719151725,48.87093,29.4324
1719151726,51.04146,32.0301
1719151727,52.83613,32.31409
1719151728,51.92152,30.05323
1719151729,52.02165,30.38871
1719151730,51.24797,30.96051
1719151731,53.13992,32.00714
1719151732,52.29496,32.85667
1719151733,52.30389,32.5533
1719151734,55.81622,40.83216
1719151735,55.02974,40.21481
1719151736,54.90225,40.38962
1719151737,55.32957,40.10269
1719151738,54.86903,40.62181
1719151739,61.16759,37.06034
1719151740,56.67011,34.96388
1719151741,54.75585,34.04428
1719151742,54.69988,33.16212
1719151743,53.88295,34.33357
1719151744,53.44666,32.96358
1719151745,54.29857,34.46796
1719151746,54.06556,33.44665
1719151747,54.43816,32.58138
1719151748,53.63314,32.52894
1719151749,53.87822,33.69763
1719151750,53.60882,32.84194
1719151751,52.12027,32.04261
1719151752,52.229,31.4456
1719151753,52.39103,32.54814
1719151754,52.35806,31.14415
1719151755,51.98798,31.50344
1719151756,51.40273,32.79145
1719151757,51.75792,31.47238
1719151758,52.16879,32.51297
1719151759,52.15476,32.15615
1719151760,54.60557,40.5997
1719151761,53.41763,39.51814
1719151762,53.5129,39.74755
1719151763,53.31391,40.59435
1719151764,54.3642,39.80087
1719151765,54.75383,39.73466
1719151766,53.99678,40.14039
1719151767,59.18771,38.22971
1719151768,55.10372,33.72051
1719151769,53.98561,33.57052
1719151770,54.74656,33.71576
1719151771,56.8184,35.75821
1719151772,56.28829,34.74596
1719151773,55.12641,34.21763
1719151774,54.0645,32.1724
1719151775,53.92765,32.3234
1719151776,53.25052,32.73066
1719151777,52.89709,30.99713
1719151778,52.40606,30.69332
1719151779,52.80043,31.99978
1719151780,52.16015,30.17421
1719151781,52.27231,32.42305
1719151782,52.14418,30.60071
1719151783,51.44325,29.66426
1719151784,56.4544,41.26406
