et,brisque
1719152560,52.48004
1719152561,52.57385
1719152562,52.68347
1719152563,52.97133
1719152564,52.59828
1719152565,52.66779
1719152566,55.80708
1719152567,55.2258
1719152568,55.18099
1719152569,54.67923
1719152570,53.89853
1719152571,54.07317
1719152572,53.6918
1719152573,52.8013
1719152574,55.35207
1719152575,55.21639
1719152576,54.62756
1719152577,59.53796
1719152578,56.53712
1719152579,56.00172
1719152580,55.92172
1719152581,55.79884
1719152582,56.0815
1719152583,57.77379
1719152584,56.91507
1719152585,56.01965
1719152586,55.4558
1719152587,55.10791
1719152588,54.96581
1719152589,53.55888
1719152590,53.02482
1719152591,52.58692
1719152592,52.84377
1719152593,58.22982
1719152594,56.97801
1719152595,56.00604
1719152596,55.73951
1719152597,60.24711
1719152598,57.81337
1719152599,57.18743
1719152600,56.30813
1719152601,56.18072
1719152602,55.78149
1719152603,55.13773
1719152604,54.55174
1719152605,54.72004
1719152606,53.31863
1719152607,52.91247
1719152608,53.26936
1719152609,54.98799
1719152610,53.04291
1719152611,53.08082
1719152612,53.20888
1719152613,52.84701
1719152614,52.77357
1719152615,52.91655
1719152616,52.8842
1719152617,52.51216
1719152618,53.19894
1719152619,52.75812
1719152620,52.63575
1719152621,52.16731
1719152622,52.5363
1719152623,52.59228
1719152624,52.43261
1719152625,52.73772
1719152626,53.18113
1719152627,53.22624
1719152628,52.86786
1719152629,52.5458
1719152630,52.84689
1719152631,52.92494
1719152632,52.7508
1719152633,55.10731
1719152634,55.32881
1719152635,54.29721
1719152636,54.22982
1719152637,60.30353
1719152638,57.97488
1719152639,57.26151
1719152640,56.89323
1719152641,60.8361
1719152642,57.75664
1719152643,56.90601
1719152644,56.32792
1719152645,56.559
1719152646,56.24872
1719152647,56.17062
1719152648,55.48076
1719152649,55.87951
1719152650,55.43053
1719152651,55.68504
1719152652,55.43731
1719152653,55.66113
1719152654,55.22999
1719152655,54.91554
1719152656,55.22978
1719152657,55.53567
1719152658,55.35799
1719152659,55.16311
1719152660,55.14181
1719152661,55.26201
1719152662,55.09647
1719152663,55.48011
1719152664,55.59338
1719152665,55.23581
1719152666,55.73901
1719152667,55.67019
1719152668,55.08621
1719152669,55.22328
1719152670,54.92271
1719152671,54.80111
1719152672,54.65392
1719152673,54.83339
1719152674,54.9099
1719152675,55.02573
1719152676,55.80876
1719152677,54.59341
1719152678,54.37556
1719152679,54.19576
1719152680,56.28737
1719152681,55.2709
1719152682,55.29936
1719152683,55.40222
1719152684,55.45679
1719152685,55.41518
1719152686,55.74788
1719152687,55.97455
1719152688,55.67083
1719152689,55.81844
1719152690,55.15908
1719152691,56.5049
1719152692,55.36644
1719152693,55.15374
1719152694,55.42649
1719152695,55.13614
1719152696,54.77061
1719152697,54.53262
1719152698,54.64432
1719152699,54.71349
1719152700,54.62962
1719152701,59.47383
1719152702,56.08919
1719152703,56.0043
1719152704,56.08344
1719152705,55.62615
1719152706,55.83642
1719152707,55.42455
1719152708,55.26998
1719152709,55.27658
1719152710,55.02207
1719152711,55.03975
1719152712,55.06839
1719152713,54.78956
1719152714,54.77954
1719152715,54.6418
1719152716,54.69704
1719152717,54.89621
1719152718,54.64886
1719152719,54.58662
1719152720,54.44184
1719152721,54.52235
1719152722,54.64691
1719152723,54.30994
1719152724,54.32711
1719152725,54.26727
1719152726,55.65906
1719152727,55.71803
1719152728,54.69238
1719152729,54.34407
1719152730,54.21229
1719152731,54.50419
1719152732,54.45216
1719152733,55.83954
1719152734,54.83287
1719152735,55.63306
1719152736,55.38552
1719152737,55.1693
1719152738,54.85884
1719152739,54.90839
1719152740,54.25482
1719152741,54.55542
1719152742,54.36063
1719152743,56.04939
1719152744,55.35062
1719152745,55.42383
1719152746,55.2777
1719152747,54.71883
1719152748,54.55654
1719152749,54.36864
1719152750,53.96436
1719152751,54.01094
1719152752,53.89025
1719152753,55.02423
1719152754,54.89085
1719152755,55.2166
1719152756,54.69911
1719152757,54.76809
1719152758,54.60783
1719152759,54.38225
1719152760,54.44782
1719152761,57.83401
1719152762,55.4243
1719152763,55.1101
1719152764,54.75102
1719152765,54.57093
1719152766,54.24416
1719152767,54.39642
1719152768,54.1704
1719152769,53.68868
1719152770,54.04754
1719152771,54.63279
1719152772,54.9318
1719152773,54.32852
1719152774,54.18232
1719152775,54.21691
1719152776,53.76318
1719152777,54.25277
1719152778,53.72064
1719152779,55.24176
1719152780,55.15146
1719152781,54.13369
1719152782,53.90648
1719152783,54.12111
1719152784,54.50411
1719152785,54.11218
1719152786,54.4232
1719152787,54.43511
1719152788,55.59278
1719152789,55.62126
1719152790,54.93304
1719152791,54.62732
1719152792,54.29477
1719152793,54.39176
1719152794,54.22299
1719152795,54.22745
1719152796,54.16474
1719152797,53.8387
1719152798,53.80771
1719152799,54.36045
1719152800,54.05331
1719152801,54.33814
