fps,et,screenshots_num
11,1719152559,22
19,1719152560,43
20,1719152561,43
20,1719152562,46
19,1719152563,42
20,1719152564,47
20,1719152565,44
20,1719152566,48
17,1719152567,46
21,1719152568,42
20,1719152569,41
19,1719152570,49
19,1719152571,45
20,1719152572,46
20,1719152573,46
20,1719152574,46
16,1719152575,49
9,1719152576,52
20,1719152577,38
24,1719152578,36
22,1719152579,40
21,1719152580,42
22,1719152581,44
17,1719152582,48
20,1719152583,44
20,1719152584,46
20,1719152585,49
20,1719152586,46
20,1719152587,46
20,1719152588,45
20,1719152589,46
17,1719152590,44
12,1719152591,51
0,1719152592,58
28,1719152593,45
22,1719152594,52
22,1719152595,47
20,1719152596,44
17,1719152597,48
19,1719152598,47
20,1719152599,49
19,1719152600,45
19,1719152601,41
20,1719152602,43
20,1719152603,44
20,1719152604,46
20,1719152605,45
19,1719152606,45
21,1719152607,45
20,1719152608,45
20,1719152609,45
20,1719152610,45
20,1719152611,46
19,1719152612,41
20,1719152613,46
20,1719152614,48
20,1719152615,44
20,1719152616,47
19,1719152617,48
20,1719152618,43
20,1719152619,48
20,1719152620,46
20,1719152621,43
19,1719152622,45
20,1719152623,44
20,1719152624,47
20,1719152625,45
20,1719152626,47
19,1719152627,42
21,1719152628,43
20,1719152629,46
19,1719152630,44
19,1719152631,46
19,1719152632,43
20,1719152633,46
17,1719152634,42
9,1719152635,51
2,1719152636,56
28,1719152637,35
20,1719152638,44
22,1719152639,44
21,1719152640,47
16,1719152641,42
20,1719152642,45
19,1719152643,47
20,1719152644,44
19,1719152645,45
19,1719152646,43
19,1719152647,43
20,1719152648,44
20,1719152649,44
20,1719152650,46
20,1719152651,46
20,1719152652,45
20,1719152653,47
19,1719152654,47
19,1719152655,43
20,1719152656,46
20,1719152657,42
19,1719152658,42
19,1719152659,40
19,1719152660,42
19,1719152661,42
20,1719152662,40
20,1719152663,42
20,1719152664,47
20,1719152665,44
20,1719152666,43
20,1719152667,48
19,1719152668,46
19,1719152669,45
20,1719152670,43
20,1719152671,49
20,1719152672,46
20,1719152673,43
19,1719152674,45
20,1719152675,49
20,1719152676,44
20,1719152677,43
19,1719152678,43
20,1719152679,45
20,1719152680,46
18,1719152681,46
20,1719152682,45
20,1719152683,45
19,1719152684,45
20,1719152685,46
19,1719152686,42
20,1719152687,47
20,1719152688,43
20,1719152689,47
19,1719152690,47
20,1719152691,43
20,1719152692,46
20,1719152693,44
20,1719152694,43
19,1719152695,42
19,1719152696,39
19,1719152697,39
21,1719152698,47
20,1719152699,45
20,1719152700,46
20,1719152701,42
20,1719152702,44
20,1719152703,45
19,1719152704,42
20,1719152705,43
20,1719152706,42
18,1719152707,42
20,1719152708,45
20,1719152709,45
20,1719152710,45
19,1719152711,42
19,1719152712,44
20,1719152713,47
20,1719152714,43
20,1719152715,48
19,1719152716,44
20,1719152717,42
20,1719152718,46
20,1719152719,46
19,1719152720,46
20,1719152721,44
20,1719152722,44
20,1719152723,45
20,1719152724,45
20,1719152725,44
20,1719152726,45
20,1719152727,48
20,1719152728,46
20,1719152729,47
19,1719152730,43
20,1719152731,46
20,1719152732,42
19,1719152733,46
19,1719152734,49
20,1719152735,48
20,1719152736,47
19,1719152737,45
20,1719152738,46
19,1719152739,45
20,1719152740,44
20,1719152741,44
19,1719152742,43
19,1719152743,47
21,1719152744,45
20,1719152745,44
19,1719152746,46
20,1719152747,47
19,1719152748,44
20,1719152749,44
20,1719152750,45
20,1719152751,47
20,1719152752,46
19,1719152753,45
19,1719152754,46
19,1719152755,43
20,1719152756,46
20,1719152757,46
20,1719152758,49
19,1719152759,45
20,1719152760,46
20,1719152761,40
20,1719152762,44
19,1719152763,43
20,1719152764,47
20,1719152765,46
19,1719152766,46
19,1719152767,43
20,1719152768,46
20,1719152769,46
18,1719152770,42
20,1719152771,46
19,1719152772,44
19,1719152773,41
20,1719152774,45
20,1719152775,45
19,1719152776,42
20,1719152777,45
20,1719152778,47
20,1719152779,46
19,1719152780,44
20,1719152781,45
20,1719152782,47
19,1719152783,49
19,1719152784,44
19,1719152785,43
20,1719152786,45
20,1719152787,45
18,1719152788,44
21,1719152789,43
20,1719152790,43
20,1719152791,47
20,1719152792,44
18,1719152793,43
21,1719152794,43
20,1719152795,43
20,1719152796,47
21,1719152797,42
19,1719152798,42
20,1719152799,46
20,1719152800,43
