et,brisque
1719155209,51.19885
1719155210,50.71415
1719155211,51.10079
1719155212,50.32601
1719155213,51.40293
1719155214,52.05791
1719155215,52.43238
1719155216,52.21535
1719155217,52.06438
1719155218,51.8685
1719155219,51.35429
1719155220,51.23657
1719155221,52.34778
1719155222,51.97655
1719155223,52.09498
1719155224,52.05385
1719155225,51.34821
1719155226,52.15579
1719155227,53.44232
1719155228,51.74947
1719155229,51.93644
1719155230,51.98874
1719155231,52.22923
1719155232,52.23882
1719155233,60.62565
1719155234,60.50406
1719155235,58.96797
1719155236,59.06895
1719155237,58.35438
1719155238,58.88291
1719155239,58.25325
1719155240,59.61917
1719155241,57.03445
1719155242,56.05031
1719155243,55.39129
1719155244,55.08324
1719155245,54.52269
1719155246,54.3214
1719155247,53.99705
1719155248,54.61963
1719155249,54.47565
1719155250,56.82555
1719155251,55.6474
1719155252,55.79315
1719155253,55.63881
1719155254,56.45012
1719155255,56.08559
1719155256,59.37511
1719155257,57.03953
1719155258,55.58561
1719155259,54.77502
1719155260,53.48317
1719155261,52.97814
1719155262,52.63194
1719155263,53.12246
1719155264,52.69876
1719155265,51.87149
1719155266,51.98107
1719155267,51.50089
1719155268,50.94044
1719155269,50.25406
1719155270,50.64869
1719155271,50.60158
1719155272,50.62181
1719155273,49.85087
1719155274,50.14395
1719155275,51.11611
1719155276,52.36945
1719155277,51.16361
1719155278,51.2772
1719155279,51.79529
1719155280,52.62895
1719155281,56.03187
1719155282,55.48745
1719155283,61.43416
1719155284,59.1002
1719155285,59.01648
1719155286,58.62892
1719155287,58.59876
1719155288,58.5361
1719155289,57.37928
1719155290,60.19331
1719155291,59.35824
1719155292,58.20507
1719155293,57.9233
1719155294,56.68381
1719155295,56.84198
1719155296,56.61415
1719155297,55.87922
1719155298,55.94449
1719155299,61.40035
1719155300,56.32876
1719155301,55.23372
1719155302,54.1543
1719155303,54.35612
1719155304,54.11717
1719155305,53.27965
1719155306,58.23436
1719155307,56.88817
1719155308,56.23189
1719155309,55.95611
1719155310,55.85952
1719155311,54.57453
1719155312,54.14283
1719155313,53.5256
1719155314,53.19754
1719155315,52.61402
1719155316,52.71189
1719155317,51.27209
1719155318,51.84308
1719155319,51.75502
1719155320,51.3915
1719155321,51.55166
1719155322,51.43524
1719155323,50.94077
1719155324,51.37315
1719155325,51.29296
1719155326,50.9112
1719155327,51.04719
1719155328,51.30163
1719155329,50.89298
1719155330,50.92254
1719155331,51.30203
1719155332,50.09349
1719155333,52.13593
1719155334,49.93943
1719155335,52.8512
1719155336,52.83275
1719155337,57.36513
1719155338,56.24249
1719155339,56.22267
1719155340,56.57838
1719155341,56.38478
1719155342,55.71585
1719155343,55.97211
1719155344,57.50171
1719155345,56.79209
1719155346,54.61546
1719155347,52.99698
1719155348,53.86795
1719155349,53.45845
1719155350,53.40096
1719155351,52.65888
1719155352,57.87004
1719155353,55.67519
1719155354,54.2481
1719155355,54.05009
1719155356,54.21592
1719155357,54.04262
1719155358,54.18182
1719155359,54.36484
1719155360,55.26951
1719155361,54.51173
1719155362,53.66697
1719155363,53.23237
1719155364,53.41722
1719155365,52.42382
1719155366,52.51627
1719155367,52.92427
1719155368,52.85069
1719155369,52.6915
1719155370,57.45402
1719155371,55.80815
1719155372,55.03664
1719155373,54.54992
1719155374,53.77816
1719155375,58.02021
1719155376,55.6423
1719155377,54.97429
1719155378,54.44197
1719155379,55.02929
1719155380,54.53605
1719155381,53.95926
1719155382,53.20079
1719155383,52.47635
1719155384,52.76777
1719155385,54.70668
1719155386,55.7616
1719155387,55.95193
1719155388,55.98114
1719155389,54.62787
1719155390,54.35736
1719155391,53.82662
1719155392,53.35379
1719155393,55.32831
1719155394,54.36197
1719155395,53.92611
1719155396,52.73397
1719155397,52.59302
1719155398,52.0466
1719155399,52.98865
1719155400,52.85229
1719155401,51.7654
1719155402,51.94786
1719155403,51.41686
1719155404,50.69381
1719155405,50.75352
1719155406,50.75323
1719155407,50.6508
1719155408,50.84234
1719155409,50.67957
1719155410,51.20374
1719155411,50.28265
1719155412,50.25677
1719155413,49.77619
1719155414,50.17137
1719155415,50.22793
1719155416,50.40915
1719155417,49.92706
1719155418,50.27938
1719155419,49.8777
1719155420,49.66642
1719155421,50.09396
1719155422,49.96071
1719155423,49.90581
1719155424,50.28556
1719155425,50.06724
1719155426,49.81772
1719155427,49.3282
1719155428,49.73036
1719155429,49.843
1719155430,50.12991
1719155431,50.02595
1719155432,49.7771
1719155433,49.54497
1719155434,49.44339
1719155435,49.60436
1719155436,49.59733
1719155437,49.76094
1719155438,49.84831
1719155439,49.29141
1719155440,49.58032
1719155441,50.05782
1719155442,49.82215
1719155443,50.00009
1719155444,50.234
1719155445,49.7708
1719155446,49.91593
1719155447,49.91925
1719155448,50.22718
1719155449,50.22196
1719155450,49.99069
