fps,et,screenshots_num
3,1719155878,7
20,1719155879,42
21,1719155880,42
20,1719155881,40
19,1719155882,41
20,1719155883,46
19,1719155884,42
20,1719155885,45
20,1719155886,43
20,1719155887,44
18,1719155888,45
20,1719155889,46
20,1719155890,47
21,1719155891,45
20,1719155892,45
20,1719155893,47
19,1719155894,46
19,1719155895,44
21,1719155896,45
19,1719155897,44
21,1719155898,39
20,1719155899,43
20,1719155900,46
19,1719155901,45
20,1719155902,46
21,1719155903,46
20,1719155904,46
20,1719155905,48
20,1719155906,42
19,1719155907,45
14,1719155908,51
7,1719155909,53
2,1719155910,56
24,1719155911,41
17,1719155912,47
18,1719155913,47
20,1719155914,43
22,1719155915,46
19,1719155916,42
21,1719155917,39
17,1719155918,44
21,1719155919,44
18,1719155920,43
20,1719155921,46
18,1719155922,43
15,1719155923,47
11,1719155924,51
15,1719155925,46
21,1719155926,47
16,1719155927,46
17,1719155928,49
15,1719155929,45
17,1719155930,46
17,1719155931,48
20,1719155932,45
22,1719155933,44
20,1719155934,45
21,1719155935,43
17,1719155936,45
19,1719155937,46
19,1719155938,47
20,1719155939,45
20,1719155940,45
19,1719155941,40
20,1719155942,46
19,1719155943,46
20,1719155944,44
20,1719155945,44
19,1719155946,44
20,1719155947,46
20,1719155948,48
20,1719155949,43
20,1719155950,47
20,1719155951,45
20,1719155952,45
20,1719155953,45
20,1719155954,39
20,1719155955,45
20,1719155956,44
19,1719155957,45
19,1719155958,43
20,1719155959,44
11,1719155960,51
2,1719155961,56
2,1719155962,55
24,1719155963,38
15,1719155964,45
15,1719155965,47
17,1719155966,47
20,1719155967,42
22,1719155968,45
20,1719155969,41
20,1719155970,43
16,1719155971,47
20,1719155972,45
19,1719155973,46
20,1719155974,43
17,1719155975,46
17,1719155976,46
22,1719155977,43
21,1719155978,43
20,1719155979,48
19,1719155980,42
20,1719155981,48
17,1719155982,47
19,1719155983,47
20,1719155984,45
19,1719155985,44
20,1719155986,46
20,1719155987,46
20,1719155988,43
19,1719155989,45
19,1719155990,44
21,1719155991,42
19,1719155992,45
20,1719155993,42
18,1719155994,44
20,1719155995,43
20,1719155996,48
20,1719155997,44
19,1719155998,48
19,1719155999,43
21,1719156000,46
19,1719156001,41
20,1719156002,46
20,1719156003,44
19,1719156004,44
20,1719156005,44
20,1719156006,40
20,1719156007,44
20,1719156008,44
20,1719156009,43
20,1719156010,44
20,1719156011,43
20,1719156012,47
20,1719156013,45
20,1719156014,45
20,1719156015,45
19,1719156016,44
19,1719156017,48
20,1719156018,46
21,1719156019,41
20,1719156020,44
19,1719156021,45
19,1719156022,49
21,1719156023,45
18,1719156024,43
20,1719156025,44
20,1719156026,41
20,1719156027,45
21,1719156028,43
19,1719156029,41
19,1719156030,47
21,1719156031,47
19,1719156032,48
18,1719156033,47
20,1719156034,49
20,1719156035,44
20,1719156036,43
20,1719156037,46
20,1719156038,42
20,1719156039,44
19,1719156040,46
19,1719156041,46
21,1719156042,42
20,1719156043,42
20,1719156044,42
19,1719156045,43
20,1719156046,41
20,1719156047,47
20,1719156048,45
20,1719156049,47
12,1719156050,52
3,1719156051,56
14,1719156052,45
17,1719156053,49
15,1719156054,46
16,1719156055,45
19,1719156056,44
22,1719156057,43
20,1719156058,43
20,1719156059,43
17,1719156060,46
20,1719156061,39
20,1719156062,41
20,1719156063,44
15,1719156064,48
16,1719156065,49
15,1719156066,49
17,1719156067,44
16,1719156068,46
16,1719156069,46
20,1719156070,42
22,1719156071,45
21,1719156072,43
22,1719156073,50
20,1719156074,43
17,1719156075,44
20,1719156076,45
20,1719156077,44
20,1719156078,44
19,1719156079,43
20,1719156080,46
19,1719156081,45
20,1719156082,44
19,1719156083,44
20,1719156084,46
20,1719156085,47
19,1719156086,45
20,1719156087,46
19,1719156088,46
21,1719156089,47
20,1719156090,44
19,1719156091,47
20,1719156092,44
19,1719156093,44
21,1719156094,45
20,1719156095,46
19,1719156096,42
20,1719156097,46
19,1719156098,43
21,1719156099,47
18,1719156100,41
17,1719156101,47
9,1719156102,51
0,1719156103,58
20,1719156104,38
15,1719156105,45
15,1719156106,47
15,1719156107,44
17,1719156108,47
21,1719156109,48
22,1719156110,45
20,1719156111,45
15,1719156112,47
21,1719156113,46
19,1719156114,48
20,1719156115,45
19,1719156116,44
18,1719156117,49
18,1719156118,43
22,1719156119,42
