et,brisque,piqe
1719217974,44.24961,23.68816
1719217975,45.58639,27.79594
1719217976,41.65152,23.98023
1719217977,41.46589,24.82469
1719217978,45.01438,26.89792
1719217979,44.81597,26.28835
1719217980,44.13364,24.3311
1719217981,42.77584,24.85594
1719217982,43.16001,24.08036
1719217983,43.74793,23.81354
1719217984,43.78923,25.14096
1719217985,44.21426,25.51654
1719217986,44.01872,24.68107
1719217987,43.3032,24.99086
1719217988,43.97096,25.37357
1719217989,44.52299,27.12793
1719217990,43.63145,27.21497
1719217991,42.87635,26.16303
1719217992,42.84581,26.52504
1719217993,74.46869,56.98116
1719217994,74.5588,55.58748
1719217995,71.95549,57.04754
1719217996,71.30566,55.99174
1719217997,70.71949,57.12763
1719217998,70.43801,57.6892
1719217999,70.4514,56.85528
1719218000,70.25627,57.50431
1719218001,70.27252,58.37824
1719218002,70.27118,56.38383
1719218003,70.87406,57.51473
1719218004,70.55592,57.39867
1719218005,70.39462,55.93453
1719218006,70.9002,57.74715
1719218007,71.01312,57.42844
1719218008,69.82126,58.55524
1719218009,70.01032,56.41956
1719218010,69.8047,56.34739
1719218011,70.02821,56.34664
1719218012,70.06237,57.23828
1719218013,70.06102,57.55107
1719218014,69.81782,56.96064
1719218015,69.63661,58.20946
1719218016,69.44857,57.64293
1719218017,69.42201,56.96778
1719218018,69.44041,57.91364
1719218019,69.3058,57.09816
1719218020,51.1689,38.06054
1719218021,49.39196,36.10656
1719218022,48.74044,36.96076
1719218023,48.46731,38.23955
1719218024,46.9656,37.64469
1719218025,46.52397,37.35436
1719218026,46.43294,36.61107
1719218027,47.22105,36.8957
1719218028,47.15599,36.73689
1719218029,46.82187,36.20227
1719218030,47.02379,36.07241
1719218031,46.6659,35.43952
1719218032,49.49305,37.51526
1719218033,48.90254,36.63525
1719218034,48.87834,36.39962
1719218035,48.77151,36.49212
1719218036,47.82174,37.19373
1719218037,47.67837,37.68015
1719218038,48.26879,37.93197
1719218039,48.01253,37.81365
1719218040,47.72551,37.14058
1719218041,48.27789,37.35297
1719218042,48.19614,38.01307
1719218043,48.48988,37.91904
1719218044,48.73773,38.91101
1719218045,48.83668,37.84041
1719218046,50.28225,37.67657
1719218047,51.01938,39.07508
1719218048,49.20511,37.55871
1719218049,49.03875,37.62488
1719218050,48.7899,37.09001
