et,piqe
1719240632,22.40806
1719240633,20.60399
1719240634,23.59821
1719240635,21.45198
1719240636,28.4823
1719240637,27.48659
1719240638,24.12042
1719240639,25.73866
1719240640,27.03027
1719240641,25.465
1719240642,26.12175
1719240643,26.61337
1719240644,24.38771
1719240645,25.22603
1719240646,25.44129
1719240647,25.36475
1719240648,54.51874
1719240649,47.60186
1719240650,49.52751
1719240651,48.27974
1719240652,48.66625
1719240653,54.84039
1719240654,55.77732
1719240655,54.35532
1719240656,53.81371
1719240657,54.08898
1719240658,55.2449
1719240659,55.92018
1719240660,56.15997
1719240661,55.0188
1719240662,56.68903
1719240663,55.03381
1719240664,55.51778
1719240665,55.42414
1719240666,56.19804
1719240667,55.33347
1719240668,55.15771
1719240669,54.97985
1719240670,54.89374
1719240671,54.14485
1719240672,54.88689
1719240673,55.41964
1719240674,56.66007
1719240675,55.26034
1719240676,55.11295
1719240677,53.95704
1719240678,55.49694
1719240679,54.86469
1719240680,54.03511
1719240681,55.65071
1719240682,55.82142
1719240683,54.92725
1719240684,54.35558
1719240685,56.05523
1719240686,55.97399
1719240687,53.57723
1719240688,55.16784
1719240689,55.27406
1719240690,53.81379
1719240691,54.61012
1719240692,54.53423
1719240693,55.7682
1719240694,55.11532
1719240695,53.22794
1719240696,55.60701
1719240697,54.75875
1719240698,55.65357
1719240699,55.32698
1719240700,57.05107
1719240701,55.3732
1719240702,56.4395
1719240703,41.10118
1719240704,40.66139
1719240705,38.88846
1719240706,40.10631
1719240707,40.56931
1719240708,39.40158
1719240709,38.75305
1719240710,38.59777
1719240711,38.5172
1719240712,38.72878
1719240713,38.66672
1719240714,37.91165
1719240715,38.96915
1719240716,39.04707
1719240717,37.52372
1719240718,38.35161
1719240719,39.00875
1719240720,38.09919
1719240721,38.45442
1719240722,37.1115
1719240723,38.84023
1719240724,39.37385
1719240725,37.10636
1719240726,39.22898
1719240727,39.34715
1719240728,38.53182
1719240729,39.37484
1719240730,40.59354
1719240731,38.19464
1719240732,38.52784
1719240733,38.6351
1719240734,38.73241
1719240735,37.99437
1719240736,38.10234
1719240737,39.07482
1719240738,39.63627
1719240739,40.01978
1719240740,40.05066
1719240741,38.62101
1719240742,38.48821
1719240743,37.50689
1719240744,37.30159
1719240745,36.9813
1719240746,36.83452
1719240747,38.25228
1719240748,37.11743
1719240749,38.41257
1719240750,36.50775
1719240751,38.23667
1719240752,37.22844
1719240753,38.14344
1719240754,36.68931
1719240755,37.12912
1719240756,36.16818
1719240757,35.36868
1719240758,37.60551
1719240759,38.29433
1719240760,37.40522
1719240761,36.81099
1719240762,37.97245
1719240763,37.47141
1719240764,38.78999
1719240765,37.50178
1719240766,36.92212
1719240767,36.92352
1719240768,36.59781
1719240769,36.95464
1719240770,39.50677
1719240771,38.89628
1719240772,36.59896
1719240773,38.46915
1719240774,37.37694
1719240775,38.05091
1719240776,38.34986
1719240777,37.38532
1719240778,36.67688
1719240779,38.37372
1719240780,36.85204
1719240781,37.07136
1719240782,38.84478
1719240783,37.68699
1719240784,37.62794
1719240785,36.79117
1719240786,37.05566
1719240787,38.34558
1719240788,37.53259
1719240789,37.57957
1719240790,38.43356
1719240791,37.12399
1719240792,38.67181
1719240793,36.77979
1719240794,37.49456
1719240795,37.94199
1719240796,38.65138
1719240797,38.80514
1719240798,37.3846
1719240799,38.18552
1719240800,39.07809
1719240801,37.91075
1719240802,39.00879
1719240803,38.72049
1719240804,38.87399
1719240805,37.69027
1719240806,37.99381
1719240807,37.74589
1719240808,37.85358
1719240809,36.84472
1719240810,37.89021
1719240811,39.02438
1719240812,38.34944
1719240813,37.42251
1719240814,38.33336
1719240815,37.60383
1719240816,37.32624
1719240817,37.2626
1719240818,38.89138
1719240819,37.56418
1719240820,39.03373
1719240821,37.71953
1719240822,38.27181
1719240823,41.00465
1719240824,38.67787
1719240825,38.09755
1719240826,48.83037
1719240827,48.46461
1719240828,49.56594
1719240829,50.98169
1719240830,49.373
1719240831,49.22697
1719240832,50.76682
1719240833,55.039
1719240834,54.88037
1719240835,54.54584
1719240836,56.43238
1719240837,55.98474
1719240838,56.37613
1719240839,56.43678
1719240840,56.15793
1719240841,55.87254
1719240842,56.54538
1719240843,55.44038
1719240844,55.5184
1719240845,56.44948
1719240846,55.45307
1719240847,55.78554
1719240848,54.14214
1719240849,55.26012
1719240850,56.60142
1719240851,56.69589
1719240852,56.41618
1719240853,56.48909
1719240854,55.62464
1719240855,56.46792
1719240856,55.92032
1719240857,55.98506
1719240858,56.2898
1719240859,56.20174
1719240860,55.61885
1719240861,56.76791
1719240862,55.74052
1719240863,55.27139
1719240864,55.58665
1719240865,57.16146
1719240866,55.23333
1719240867,55.06896
1719240868,56.03918
1719240869,57.41851
1719240870,55.62801
1719240871,56.40944
1719240872,57.29897
1719240873,56.43649
