et,brisque,piqe
1716562928,45.41958,29.69207
1716562929,45.41989,26.61681
1716562930,45.33274,30.52902
1716562931,46.01211,28.89422
1716562932,45.73518,28.7787
1716562933,45.69878,29.45213
1716562934,45.70548,29.83219
1716562935,45.97868,29.08638
1716562936,46.15666,28.55317
1716562937,45.1136,27.65929
1716562938,44.73902,27.72352
1716562939,45.40099,29.65324
1716562940,45.41393,30.08565
1716562941,46.25527,30.67493
1716562942,46.04094,29.50459
1716562943,45.83752,29.04671
1716562944,45.84402,28.6955
1716562945,45.61352,29.69629
1716562946,45.38889,28.25893
1716562947,46.04464,29.17606
1716562948,45.98514,29.64439
1716562949,45.51638,30.38594
1716562950,104.20106,19.68775
1716562951,47.57053,29.71094
1716562952,45.78906,28.92496
1716562953,45.39357,28.23325
1716562954,46.31945,29.48245
1716562955,45.45765,28.97616
1716562956,47.61594,30.60052
1716562957,46.47011,29.52383
1716562958,47.44242,30.58052
1716562959,105.41286,19.8037
1716562960,46.72468,30.23865
1716562961,47.21224,29.83218
1716562962,47.34181,30.26592
1716562963,47.21993,27.57467
1716562964,46.48336,29.14923
1716562965,45.66034,27.39381
1716562966,47.01783,31.42977
1716562967,47.32529,29.87592
1716562968,48.93333,30.34935
1716562969,46.66031,29.01751
1716562970,46.39398,27.92318
1716562971,46.78178,30.90918
1716562972,46.82127,28.35017
1716562973,46.67129,30.5521
1716562974,47.91444,30.90305
1716562975,45.68558,28.07975
1716562976,46.3877,28.08573
1716562977,45.97866,29.73055
1716562978,44.80221,28.18357
1716562979,45.67479,29.12191
1716562980,48.17697,30.23542
1716562981,44.91535,29.16395
1716562982,47.7808,31.54801
1716562983,47.50101,31.463
1716562984,46.96334,29.22153
1716562985,47.01614,30.55665
1716562986,46.22123,29.29608
1716562987,105.90641,19.87916
1716562988,47.56001,31.55361
1716562989,45.51055,29.37713
1716562990,46.74432,29.03898
1716562991,46.10718,29.15882
1716562992,46.43715,28.62418
1716562993,48.01435,30.04329
1716562994,46.57177,28.05524
1716562995,48.21062,31.9673
1716562996,47.08217,30.4921
1716562997,48.25727,30.59355
