et,brisque
1716732597,43.72027
1716732598,44.42888
1716732599,43.4076
1716732600,43.85291
1716732601,45.42153
1716732602,46.34251
1716732603,46.99141
1716732604,46.67567
1716732605,45.0489
1716732606,45.05554
1716732607,46.37473
1716732608,49.05597
1716732609,46.66444
1716732610,45.13987
1716732611,47.17366
1716732612,46.86733
1716732613,44.6987
1716732614,45.94589
1716732615,44.75863
1716732616,44.13478
1716732617,46.37965
1716732618,44.29925
1716732619,43.04248
1716732620,42.77786
1716732621,44.03171
1716732622,45.8078
1716732623,45.63929
1716732624,45.49289
1716732625,44.24809
1716732626,44.42409
1716732627,44.66416
1716732628,44.18953
1716732629,44.58848
1716732630,44.45866
1716732631,44.19353
1716732632,43.66055
1716732633,44.92237
1716732634,44.32621
1716732635,44.62844
1716732636,44.28117
1716732637,43.00466
1716732638,42.49754
1716732639,43.76831
1716732640,42.5701
1716732641,42.56312
1716732642,43.8229
1716732643,43.2572
1716732644,43.38433
1716732645,41.6149
1716732646,42.4441
1716732647,43.30953
1716732648,42.10719
1716732649,43.71848
1716732650,43.34884
1716732651,45.06243
1716732652,45.05308
1716732653,43.53385
1716732654,43.57923
1716732655,44.37371
1716732656,43.31962
1716732657,45.0172
1716732658,43.41334
1716732659,44.02744
1716732660,43.84545
1716732661,43.8228
1716732662,42.51048
1716732663,43.25199
1716732664,42.39631
1716732665,45.1949
1716732666,45.88149
1716732667,45.42302
1716732668,41.8493
1716732669,41.44933
1716732670,43.53205
1716732671,41.76513
1716732672,41.54117
1716732673,40.7557
1716732674,42.22332
1716732675,40.30737
1716732676,41.98184
1716732677,42.87954
1716732678,42.65428
1716732679,42.4151
1716732680,41.04042
1716732681,44.17452
1716732682,46.01835
1716732683,46.80054
1716732684,45.45005
1716732685,43.14134
1716732686,42.99335
1716732687,42.38101
1716732688,43.06174
1716732689,44.35779
1716732690,42.73877
1716732691,42.02233
1716732692,42.56788
1716732693,43.48379
1716732694,43.973
1716732695,42.03933
1716732696,42.94903
1716732697,42.86081
1716732698,43.78609
1716732699,43.37137
1716732700,42.24446
1716732701,43.44585
1716732702,76.43205
1716732703,44.79771
1716732704,43.77016
1716732705,42.73482
1716732706,43.63514
1716732707,43.33451
1716732708,43.46901
1716732709,43.74452
1716732710,42.10335
1716732711,43.01358
1716732712,43.70614
1716732713,45.53939
1716732714,44.548
1716732715,42.44142
1716732716,44.38762
1716732717,43.71778
1716732718,44.08161
1716732719,43.0325
1716732720,44.19008
1716732721,42.72867
1716732722,44.14147
1716732723,42.8464
1716732724,46.50364
1716732725,44.50271
1716732726,44.97757
1716732727,43.49246
1716732728,76.51031
1716732729,44.33879
1716732730,43.16112
1716732731,44.02601
1716732732,44.6591
1716732733,43.32676
1716732734,44.05602
1716732735,43.67858
1716732736,42.4528
1716732737,44.81162
1716732738,42.75191
1716732739,44.35032
1716732740,43.0985
1716732741,44.08134
1716732742,43.85809
1716732743,44.22226
1716732744,44.16346
1716732745,43.61385
1716732746,44.50049
1716732747,48.13671
1716732748,43.97649
1716732749,45.24166
1716732750,44.28883
1716732751,43.90947
1716732752,43.79967
1716732753,42.92806
1716732754,43.46203
1716732755,43.6798
1716732756,43.885
1716732757,42.00479
1716732758,45.02762
1716732759,42.78365
1716732760,42.72812
1716732761,44.1619
1716732762,45.70496
1716732763,43.41337
1716732764,43.11158
1716732765,43.23916
1716732766,42.88626
1716732767,43.26645
1716732768,41.71259
1716732769,42.24048
1716732770,43.89348
1716732771,42.09899
1716732772,44.27908
1716732773,42.65413
1716732774,42.17765
1716732775,42.59577
1716732776,42.67434
1716732777,42.59132
1716732778,44.98085
1716732779,43.41211
1716732780,42.42548
1716732781,41.70057
1716732782,44.01006
1716732783,42.17846
1716732784,42.81247
1716732785,42.06896
1716732786,41.85619
1716732787,41.85884
1716732788,42.40869
1716732789,42.11578
1716732790,43.75771
1716732791,46.33552
1716732792,42.0856
1716732793,43.69201
1716732794,42.63989
1716732795,43.14962
1716732796,43.57856
1716732797,43.00954
1716732798,43.20332
1716732799,41.66169
1716732800,42.95723
1716732801,45.90133
1716732802,43.12024
1716732803,41.48419
1716732804,41.81572
1716732805,43.6666
1716732806,43.23109
1716732807,43.30081
1716732808,44.81261
1716732809,42.3798
1716732810,45.29051
1716732811,44.13047
1716732812,44.13112
1716732813,43.86588
1716732814,45.48335
1716732815,43.52935
1716732816,45.20587
1716732817,43.43782
1716732818,42.73012
1716732819,43.99161
1716732820,43.28467
1716732821,42.76011
1716732822,45.05258
1716732823,43.67084
1716732824,44.52282
1716732825,45.49804
1716732826,43.47967
1716732827,42.32123
1716732828,43.19024
1716732829,44.12217
1716732830,43.16791
1716732831,42.10544
1716732832,42.86674
1716732833,43.40469
1716732834,43.03006
1716732835,42.27947
1716732836,43.91099
1716732837,42.87374
1716732838,45.11553
