fps,et
20,1716733845
21,1716733846
21,1716733847
20,1716733848
18,1716733849
20,1716733850
20,1716733851
19,1716733852
18,1716733853
20,1716733854
21,1716733855
18,1716733856
20,1716733857
19,1716733858
19,1716733859
19,1716733860
22,1716733861
18,1716733862
20,1716733863
19,1716733864
20,1716733865
19,1716733866
20,1716733867
19,1716733868
20,1716733869
20,1716733870
20,1716733871
20,1716733872
19,1716733873
20,1716733874
19,1716733875
20,1716733876
20,1716733877
20,1716733878
20,1716733879
19,1716733880
19,1716733881
20,1716733882
20,1716733883
20,1716733884
19,1716733885
20,1716733886
21,1716733887
18,1716733888
19,1716733889
20,1716733890
20,1716733891
19,1716733892
20,1716733893
20,1716733894
20,1716733895
20,1716733896
20,1716733897
19,1716733898
19,1716733899
19,1716733900
20,1716733901
19,1716733902
20,1716733903
19,1716733904
20,1716733905
20,1716733906
20,1716733907
20,1716733908
20,1716733909
20,1716733910
19,1716733911
19,1716733912
20,1716733913
19,1716733914
20,1716733915
21,1716733916
19,1716733917
20,1716733918
19,1716733919
19,1716733920
19,1716733921
19,1716733922
21,1716733923
20,1716733924
18,1716733925
19,1716733926
19,1716733927
20,1716733928
19,1716733929
20,1716733930
20,1716733931
21,1716733932
19,1716733933
20,1716733934
20,1716733935
19,1716733936
20,1716733937
20,1716733938
19,1716733939
20,1716733940
20,1716733941
20,1716733942
20,1716733943
19,1716733944
19,1716733945
21,1716733946
19,1716733947
20,1716733948
19,1716733949
20,1716733950
19,1716733951
21,1716733952
20,1716733953
19,1716733954
19,1716733955
20,1716733956
20,1716733957
19,1716733958
18,1716733959
18,1716733960
20,1716733961
21,1716733962
19,1716733963
19,1716733964
20,1716733965
19,1716733966
20,1716733967
21,1716733968
18,1716733969
20,1716733970
19,1716733971
19,1716733972
20,1716733973
20,1716733974
20,1716733975
21,1716733976
19,1716733977
19,1716733978
20,1716733979
20,1716733980
20,1716733981
19,1716733982
20,1716733983
20,1716733984
19,1716733985
20,1716733986
20,1716733987
20,1716733988
20,1716733989
20,1716733990
20,1716733991
19,1716733992
20,1716733993
20,1716733994
20,1716733995
20,1716733996
20,1716733997
20,1716733998
18,1716733999
20,1716734000
20,1716734001
19,1716734002
21,1716734003
18,1716734004
21,1716734005
20,1716734006
19,1716734007
20,1716734008
20,1716734009
20,1716734010
19,1716734011
18,1716734012
20,1716734013
21,1716734014
18,1716734015
20,1716734016
19,1716734017
20,1716734018
20,1716734019
19,1716734020
20,1716734021
19,1716734022
20,1716734023
19,1716734024
20,1716734025
19,1716734026
20,1716734027
20,1716734028
19,1716734029
20,1716734030
21,1716734031
19,1716734032
19,1716734033
20,1716734034
19,1716734035
20,1716734036
19,1716734037
20,1716734038
20,1716734039
19,1716734040
20,1716734041
19,1716734042
20,1716734043
19,1716734044
19,1716734045
20,1716734046
19,1716734047
20,1716734048
18,1716734049
21,1716734050
20,1716734051
19,1716734052
19,1716734053
20,1716734054
20,1716734055
20,1716734056
20,1716734057
19,1716734058
21,1716734059
19,1716734060
19,1716734061
21,1716734062
19,1716734063
20,1716734064
18,1716734065
20,1716734066
19,1716734067
18,1716734068
19,1716734069
20,1716734070
20,1716734071
20,1716734072
20,1716734073
20,1716734074
19,1716734075
19,1716734076
20,1716734077
19,1716734078
19,1716734079
20,1716734080
18,1716734081
20,1716734082
18,1716734083
20,1716734084
21,1716734085
19,1716734086
0,1716734087
