bps,et
2010000,1716734602
2012080,1716734603
1998080,1716734604
2009760,1716734605
2013760,1716734606
2016400,1716734607
2012720,1716734608
2019440,1716734609
2007120,1716734610
2013360,1716734611
2019840,1716734612
2018800,1716734613
2016480,1716734614
2016480,1716734615
2006800,1716734616
2015120,1716734617
2011280,1716734618
2023440,1716734619
2015040,1716734620
2016240,1716734621
2011760,1716734622
2006240,1716734623
2010880,1716734624
2020640,1716734625
2014240,1716734626
2011280,1716734627
2009840,1716734628
2013360,1716734629
2008560,1716734630
2020160,1716734631
2012880,1716734632
2010960,1716734633
2018160,1716734634
2012320,1716734635
2017920,1716734636
2017280,1716734637
2019680,1716734638
2020560,1716734639
2022240,1716734640
2016800,1716734641
2009840,1716734642
2012240,1716734643
2014480,1716734644
2014160,1716734645
2014000,1716734646
2016560,1716734647
2015120,1716734648
2009920,1716734649
2013200,1716734650
2021120,1716734651
2018160,1716734652
2011120,1716734653
2016480,1716734654
2016000,1716734655
2019280,1716734656
2017360,1716734657
2027120,1716734658
2018720,1716734659
2027600,1716734660
2024880,1716734661
2020320,1716734662
1980080,1716734663
1961920,1716734664
1973040,1716734665
1960000,1716734666
1964480,1716734667
1952000,1716734668
1967600,1716734669
1961280,1716734670
2002480,1716734671
2002480,1716734672
2015280,1716734673
2015280,1716734674
2015120,1716734675
2009520,1716734676
2013120,1716734677
2015200,1716734678
2003440,1716734679
2016400,1716734680
2004400,1716734681
2014800,1716734682
2013120,1716734683
2013600,1716734684
2022720,1716734685
2016960,1716734686
2028400,1716734687
2021280,1716734688
2022240,1716734689
2027440,1716734690
2019440,1716734691
2029200,1716734692
2014320,1716734693
2027120,1716734694
2016240,1716734695
2023760,1716734696
2021520,1716734697
2024880,1716734698
2026480,1716734699
2016000,1716734700
2027600,1716734701
2019200,1716734702
2027520,1716734703
2021280,1716734704
2029440,1716734705
2011760,1716734706
2020960,1716734707
2020640,1716734708
2014640,1716734709
2022240,1716734710
2024080,1716734711
2021600,1716734712
2015040,1716734713
2019920,1716734714
2019200,1716734715
2019200,1716734716
2018400,1716734717
2022800,1716734718
2010000,1716734719
2019920,1716734720
2023760,1716734721
2034400,1716734722
2019280,1716734723
2022320,1716734724
2022240,1716734725
2016720,1716734726
2021600,1716734727
2019440,1716734728
2015600,1716734729
2011280,1716734730
2018320,1716734731
2024160,1716734732
2024720,1716734733
2021200,1716734734
2023600,1716734735
2024880,1716734736
2025600,1716734737
2025600,1716734738
2026640,1716734739
2026640,1716734740
2018160,1716734741
2025120,1716734742
2022880,1716734743
2031760,1716734744
2019680,1716734745
2029440,1716734746
2023600,1716734747
2024240,1716734748
2025200,1716734749
2029040,1716734750
2028320,1716734751
2017200,1716734752
2032400,1716734753
2009280,1716734754
2016640,1716734755
2017600,1716734756
2029280,1716734757
2016480,1716734758
2018080,1716734759
2016400,1716734760
2009360,1716734761
2029760,1716734762
2021520,1716734763
2031760,1716734764
2019120,1716734765
2027680,1716734766
2024960,1716734767
2026800,1716734768
2028080,1716734769
2020240,1716734770
2028480,1716734771
2015760,1716734772
2018240,1716734773
2021520,1716734774
2024000,1716734775
2033920,1716734776
2024400,1716734777
2024880,1716734778
2019840,1716734779
2028880,1716734780
2025120,1716734781
2021520,1716734782
2021520,1716734783
2010240,1716734784
2010240,1716734785
2021760,1716734786
2021040,1716734787
2021040,1716734788
2017680,1716734789
2026560,1716734790
2020400,1716734791
2031040,1716734792
2011920,1716734793
2004320,1716734794
2003440,1716734795
2012960,1716734796
2002080,1716734797
2003280,1716734798
1992000,1716734799
1984960,1716734800
2007040,1716734801
2011360,1716734802
2013200,1716734803
2007360,1716734804
2010560,1716734806
2002960,1716734807
2002800,1716734808
2000640,1716734809
2004880,1716734810
1996480,1716734811
2001760,1716734812
1991360,1716734813
2004320,1716734814
1999040,1716734815
2003760,1716734816
2015200,1716734817
2007840,1716734818
2023920,1716734819
2014320,1716734820
2028000,1716734821
2015040,1716734822
2018000,1716734823
2018000,1716734824
2024160,1716734825
2014640,1716734826
2014640,1716734827
2010720,1716734828
2022480,1716734829
2014720,1716734830
2016800,1716734831
2024320,1716734832
2016480,1716734833
2018480,1716734834
2023360,1716734835
2018320,1716734836
2017920,1716734837
2011520,1716734838
2022560,1716734839
2016800,1716734840
2017040,1716734841
2027280,1716734842
2018160,1716734843
2026160,1716734844
