bps,et
1992000,1716743011
1997840,1716743012
1992000,1716743013
1992000,1716743014
1992000,1716743015
2001120,1716743016
2003760,1716743017
2000160,1716743018
2003840,1716743019
2003840,1716743020
2000240,1716743021
1996560,1716743022
2000080,1716743023
2000320,1716743024
1996800,1716743025
1995600,1716743026
2003680,1716743027
2000240,1716743028
1992000,1716743029
1999120,1716743030
2003680,1716743031
1992000,1716743032
1992000,1716743033
2000240,1716743034
1992000,1716743035
1992000,1716743036
1992000,1716743037
2004320,1716743038
2000160,1716743039
2003680,1716743040
2004000,1716743041
2008000,1716743042
2000000,1716743043
1992000,1716743044
1992000,1716743045
2000320,1716743046
1992000,1716743047
2000400,1716743048
1992000,1716743049
1996240,1716743050
2000480,1716743051
2000560,1716743052
1992000,1716743053
1992000,1716743054
2000080,1716743055
2000000,1716743056
2000000,1716743057
2000240,1716743058
2000080,1716743059
1995520,1716743060
1992000,1716743061
2000080,1716743062
1996320,1716743063
1992000,1716743064
1996560,1716743065
1996720,1716743066
2000560,1716743067
2004640,1716743068
1999200,1716743069
1992000,1716743070
2002720,1716743071
1992000,1716743072
2002960,1716743073
1998720,1716743074
1986160,1716743075
1999120,1716743076
1999600,1716743077
2000160,1716743078
1993040,1716743079
1960000,1716743080
1930800,1716743081
1922960,1716743082
1922960,1716743083
1914080,1716743084
1914080,1716743085
1927520,1716743086
1913840,1716743087
1941520,1716743088
1972160,1716743089
2007440,1716743090
2028080,1716743091
2026160,1716743092
2029600,1716743093
2019200,1716743094
2032880,1716743095
2018720,1716743096
2024320,1716743097
2016880,1716743098
2017440,1716743099
2023040,1716743100
2025200,1716743101
2030080,1716743102
2026960,1716743103
2019760,1716743104
2027920,1716743105
2024480,1716743106
2025280,1716743107
2020400,1716743108
2029280,1716743109
2017600,1716743110
2023120,1716743111
2027360,1716743112
2019920,1716743113
2019920,1716743114
2009600,1716743115
2012080,1716743116
2000640,1716743117
2005520,1716743118
2003840,1716743119
2000640,1716743120
1992000,1716743121
2000480,1716743122
1996640,1716743123
2000320,1716743124
1992000,1716743125
2000320,1716743126
1992000,1716743127
1995920,1716743128
2006400,1716743129
1992000,1716743130
2002480,1716743131
1998720,1716743132
1991040,1716743133
1992000,1716743134
2001840,1716743135
2001840,1716743136
1999600,1716743137
1981840,1716743138
1927040,1716743139
1944240,1716743140
1958880,1716743141
1962800,1716743142
1952000,1716743143
1954080,1716743144
1948800,1716743145
1981840,1716743146
2031120,1716743147
2016640,1716743148
2016640,1716743149
2016640,1716743150
2017680,1716743151
2008480,1716743152
2009520,1716743153
2021680,1716743154
2029120,1716743155
2023600,1716743156
2034160,1716743157
2026240,1716743158
2022400,1716743159
2018800,1716743160
2026640,1716743161
2006080,1716743162
2015280,1716743163
2016160,1716743164
2003680,1716743165
2011840,1716743166
2013040,1716743167
2012480,1716743168
2006480,1716743169
2019440,1716743170
2006400,1716743171
1992000,1716743172
2000480,1716743173
2000720,1716743174
1995360,1716743175
2003920,1716743176
2000800,1716743177
1999600,1716743178
2000560,1716743179
2000160,1716743180
1992000,1716743181
2004080,1716743182
2000320,1716743183
2000240,1716743184
2000720,1716743185
2000720,1716743186
1992000,1716743187
2000240,1716743188
2001920,1716743189
1992000,1716743190
1998400,1716743191
1992000,1716743192
1993520,1716743193
1993680,1716743194
1992000,1716743195
1992000,1716743196
2000160,1716743197
2000320,1716743198
2003280,1716743199
1992000,1716743200
2000320,1716743201
1992000,1716743202
2004000,1716743203
1992000,1716743204
1999120,1716743205
2000480,1716743206
1996640,1716743207
2000160,1716743208
2003520,1716743209
2000320,1716743210
1992000,1716743211
1996400,1716743212
2000800,1716743213
1992000,1716743214
2000080,1716743215
1996080,1716743216
1996480,1716743217
2003120,1716743218
2000000,1716743219
2000560,1716743220
1992000,1716743221
2000880,1716743222
1992000,1716743223
2000400,1716743224
2000400,1716743225
2003200,1716743226
2000880,1716743227
1995920,1716743228
2004000,1716743229
1992000,1716743230
1999600,1716743231
2004640,1716743232
2006960,1716743233
2000080,1716743234
1992000,1716743235
2004480,1716743236
1992000,1716743237
1992000,1716743238
1996400,1716743239
1996400,1716743240
1999600,1716743241
1992000,1716743242
2000880,1716743243
2000560,1716743244
1997120,1716743245
2000480,1716743246
2004320,1716743247
2003920,1716743248
1996400,1716743249
1994000,1716743250
1992000,1716743251
1992000,1716743252
2001600,1716743253
