et,brisque,piqe
1716743611,45.05659,27.79375
1716743612,46.85268,29.88018
1716743613,45.24306,28.43639
1716743614,44.85471,28.12395
1716743615,45.51646,28.85175
1716743616,44.26045,28.29753
1716743617,46.43197,30.18366
1716743618,43.4967,27.56454
1716743619,46.079,29.243
1716743620,43.06785,28.24944
1716743621,43.33447,28.01668
1716743622,42.49492,27.39977
1716743623,42.99387,27.8637
1716743624,42.61471,27.21004
1716743625,43.74348,27.55609
1716743626,44.28125,27.48041
1716743627,44.1523,27.62578
1716743628,44.04065,29.23046
1716743629,44.24178,28.46624
1716743630,44.84657,27.89023
1716743631,44.28164,27.34593
1716743632,46.49653,28.89374
1716743633,44.03807,27.65772
1716743634,43.90303,27.49029
1716743635,42.72267,27.05551
1716743636,43.87082,27.0927
1716743637,43.50386,27.6516
1716743638,43.71515,28.9232
1716743639,44.81129,27.79728
1716743640,44.15747,28.16371
1716743641,42.85545,28.00591
1716743642,42.89635,26.97111
1716743643,44.58711,28.32235
1716743644,43.21958,27.47642
1716743645,42.88459,26.48755
1716743646,42.11173,26.91628
1716743647,42.29032,26.48193
1716743648,42.10289,25.00155
1716743649,44.08141,28.96646
1716743650,43.70917,26.41509
1716743651,43.65805,27.83398
1716743652,45.39151,28.55108
1716743653,43.4084,27.16011
1716743654,44.17223,28.58562
1716743655,43.4206,27.23103
1716743656,43.3669,25.61219
1716743657,44.957,28.61363
1716743658,44.78985,28.51342
1716743659,45.04787,29.45605
1716743660,44.90187,28.50761
1716743661,43.90859,27.48695
1716743662,45.77634,28.60849
1716743663,44.94576,27.7888
1716743664,44.89703,28.25679
1716743665,43.9865,28.97423
1716743666,44.33723,29.03743
1716743667,45.00804,27.64315
1716743668,44.6281,27.91465
1716743669,45.10068,27.43109
1716743670,43.97979,27.79455
1716743671,44.40996,27.67798
1716743672,43.34798,27.46784
1716743673,43.01372,26.77703
1716743674,44.53687,27.62816
1716743675,42.8863,27.22462
1716743676,42.38083,26.99821
1716743677,42.20221,25.86201
1716743678,42.86877,27.67332
1716743679,43.72508,28.18719
1716743680,47.01378,29.02962
1716743681,45.27811,27.85928
1716743682,44.73014,28.30612
1716743683,44.34299,28.03554
1716743684,44.2101,27.23293
1716743685,44.1246,27.23684
1716743686,43.10294,25.40278
1716743687,43.69421,25.96754
1716743688,43.30293,26.86693
1716743689,44.25577,26.02513
1716743690,43.377,26.01266
1716743691,72.05869,18.10859
1716743692,42.84194,27.25828
1716743693,43.23472,27.2915
1716743694,45.09735,28.03997
1716743695,43.61623,26.87019
1716743696,43.78945,27.07697
1716743697,44.23738,26.63776
1716743698,43.97645,26.81741
1716743699,44.17655,28.13408
1716743700,44.06192,27.54857
1716743701,44.44562,27.11499
1716743702,43.57638,27.05922
1716743703,43.88113,27.325
1716743704,44.74324,27.38248
1716743705,43.21877,26.50648
1716743706,43.54177,25.62097
1716743707,43.01691,27.28268
1716743708,43.70699,27.46564
1716743709,44.40246,28.50362
1716743710,44.24211,28.11873
1716743711,44.53652,29.21203
1716743712,44.4553,27.78989
1716743713,47.22584,30.05712
1716743714,43.97971,27.90477
1716743715,43.87967,28.20994
1716743716,43.01852,27.59272
1716743717,43.69746,27.73954
1716743718,44.94986,28.29384
1716743719,43.3202,27.30391
1716743720,43.63312,27.55394
1716743721,45.43588,28.8123
1716743722,43.82834,25.99647
1716743723,44.41013,28.6199
1716743724,44.17347,27.64563
1716743725,44.15509,27.31826
1716743726,44.45181,28.37362
1716743727,43.7037,27.48407
1716743728,44.0085,26.62189
1716743729,47.57935,30.76099
1716743730,45.17627,27.58259
1716743731,44.64111,27.35588
1716743732,44.04779,27.49426
1716743733,43.59283,27.77569
1716743734,43.36069,28.96646
1716743735,44.23753,29.42353
1716743736,43.70842,28.49021
1716743737,43.58896,27.43453
1716743738,43.7157,26.90499
1716743739,43.46353,26.2412
1716743740,43.08138,26.35093
1716743741,43.51132,26.57674
1716743742,44.38743,28.91734
1716743743,43.82958,28.95596
1716743744,43.74945,28.17083
1716743745,44.11091,27.90932
1716743746,43.85321,26.02161
1716743747,44.36306,26.75417
1716743748,45.30699,28.85968
1716743749,43.92554,27.01198
1716743750,43.56313,26.88371
1716743751,43.73672,27.35291
1716743752,44.03125,26.85891
1716743753,44.28928,30.17338
1716743754,44.02593,27.96341
1716743755,43.80813,27.28298
1716743756,43.21088,27.71594
1716743757,44.97765,27.93316
1716743758,43.75127,27.15403
1716743759,43.72115,26.30445
1716743760,43.26112,26.69166
1716743761,43.30178,26.28417
1716743762,42.72051,27.46545
1716743763,47.33219,29.23843
1716743764,44.33712,27.2036
1716743765,43.70089,26.65345
1716743766,43.61406,26.95166
1716743767,45.54747,27.931
1716743768,43.79034,27.20699
1716743769,43.5627,26.29473
1716743770,43.30658,28.21424
1716743771,43.14635,27.36871
1716743772,45.97853,30.27218
1716743773,43.56122,26.85579
1716743774,43.11316,27.86861
1716743775,43.63614,27.94652
1716743776,42.67411,26.32113
1716743777,43.30097,27.12153
1716743778,42.0831,25.87561
1716743779,42.24611,25.68671
1716743780,44.05198,28.13742
1716743781,44.98104,27.9595
1716743782,43.91351,28.34449
1716743783,44.13572,26.78832
1716743784,43.66647,27.4079
1716743785,43.89376,27.53398
1716743786,43.50465,26.55171
1716743787,46.46957,30.74918
1716743788,44.3576,25.92127
1716743789,46.61801,29.02788
1716743790,44.0113,27.68606
1716743791,43.19254,27.02217
1716743792,47.09294,30.30377
1716743793,44.11891,27.31408
1716743794,43.36347,27.12717
1716743795,43.48267,27.42003
1716743796,43.41949,26.5215
1716743797,43.60573,27.37999
1716743798,43.81883,27.18564
1716743799,42.87552,26.59938
1716743800,43.557,27.88741
1716743801,43.3004,26.06488
1716743802,44.60355,27.19046
1716743803,44.02833,28.18179
1716743804,43.58928,28.5868
1716743805,43.92261,28.4252
1716743806,43.05121,28.21459
1716743807,43.39184,27.98383
1716743808,45.07229,27.7644
1716743809,43.37434,27.82311
1716743810,45.11474,27.98734
1716743811,44.96416,28.02039
1716743812,44.85442,26.63524
1716743813,44.12947,27.44706
1716743814,44.33945,28.06644
1716743815,44.48243,26.72808
1716743816,44.15607,26.55187
1716743817,43.98434,26.22219
1716743818,45.42252,28.38886
1716743819,44.54831,27.55903
1716743820,44.76725,26.63767
1716743821,44.28786,28.2077
1716743822,44.04707,25.69604
1716743823,44.43837,27.4026
1716743824,44.23334,27.34223
1716743825,44.16613,27.90414
1716743826,44.11651,26.28241
1716743827,47.66053,28.16902
1716743828,45.78565,27.22388
1716743829,46.86423,28.5221
1716743830,44.58025,26.67916
1716743831,44.60738,26.59056
1716743832,44.02579,26.3965
1716743833,44.18427,26.17726
1716743834,44.05276,25.68361
1716743835,44.04189,27.96447
1716743836,46.21624,28.39372
1716743837,46.73819,31.32594
1716743838,45.70451,28.00331
1716743839,46.46178,28.64083
1716743840,45.65077,26.22644
1716743841,45.59248,28.32417
1716743842,45.5572,28.16031
1716743843,45.6754,26.89619
1716743844,45.76234,26.32847
1716743845,45.18223,27.48315
1716743846,47.50258,27.66567
1716743847,45.54709,28.10711
1716743848,45.89899,28.84645
1716743849,45.41209,28.38241
1716743850,48.85693,32.08343
1716743851,46.27531,27.27779
1716743852,45.57976,27.42773
