et,brisque
1716744887,46.66809
1716744888,46.67516
1716744889,45.22573
1716744890,44.38466
1716744891,44.36798
1716744892,47.61408
1716744893,45.44242
1716744894,45.40634
1716744895,46.21134
1716744896,44.70493
1716744897,46.43245
1716744898,46.84146
1716744899,45.90628
1716744900,45.925
1716744901,46.63644
1716744902,46.5506
1716744903,46.57213
1716744904,46.62348
1716744905,47.07649
1716744906,46.50351
1716744907,46.51036
1716744908,46.5192
1716744909,46.31023
1716744910,46.50928
1716744911,44.60036
1716744912,44.54165
1716744913,45.96582
1716744914,48.26444
1716744915,46.99446
1716744916,47.1787
1716744917,45.80786
1716744918,46.09055
1716744919,46.86879
1716744920,44.51015
1716744921,43.75932
1716744922,43.68842
1716744923,44.78998
1716744924,44.78141
1716744925,44.82795
1716744926,45.88385
1716744927,44.24583
1716744928,43.76814
1716744929,45.9698
1716744930,44.29625
1716744931,47.15953
1716744932,48.86378
1716744933,45.96891
1716744934,46.46674
1716744935,45.92721
1716744936,45.92487
1716744937,45.00087
1716744938,47.28407
1716744939,47.24916
1716744940,45.81617
1716744941,43.90628
1716744942,43.9203
1716744943,43.91593
1716744944,44.36127
1716744945,44.3949
1716744946,44.36966
1716744947,44.40206
1716744948,47.69345
1716744949,45.58897
1716744950,46.15376
1716744951,46.73851
1716744952,45.67243
1716744953,45.63758
1716744954,45.52712
1716744955,47.06717
1716744956,44.93517
1716744957,46.88042
1716744958,46.90709
1716744959,46.9789
1716744960,46.96013
1716744961,44.39784
1716744962,44.38569
1716744963,44.33419
1716744964,48.6598
1716744965,44.30785
1716744966,44.33538
1716744967,48.22344
1716744968,46.1675
1716744969,44.2461
1716744970,43.84579
1716744971,44.71255
1716744972,44.635
1716744973,47.85084
1716744974,46.62523
1716744975,45.88776
1716744976,45.76068
1716744977,45.72871
1716744978,44.31154
1716744979,45.82339
1716744980,44.53078
1716744981,44.0876
1716744982,46.29119
1716744983,45.31991
1716744984,44.39506
1716744985,48.54456
1716744986,44.84668
1716744987,43.52007
1716744988,43.73898
1716744989,46.80961
1716744990,43.52898
1716744991,44.08616
1716744992,44.96565
1716744993,55.19762
1716744994,42.98947
1716744995,43.07977
1716744996,43.06225
1716744997,44.08545
1716744998,42.99176
1716744999,43.05597
1716745000,42.47858
1716745001,42.50368
1716745002,42.48545
1716745003,46.97684
1716745004,46.22859
1716745005,44.79704
1716745006,49.35888
1716745007,45.75391
1716745008,45.84183
1716745009,46.01515
1716745010,44.6786
1716745011,44.43366
1716745012,46.2379
1716745013,44.19417
1716745014,45.74024
1716745015,44.8131
1716745016,43.76285
1716745017,47.96965
1716745018,47.29615
1716745019,47.47836
1716745020,46.71814
1716745021,46.7113
1716745022,46.7118
1716745023,46.25953
1716745024,44.57012
1716745025,46.33831
1716745026,46.39933
1716745027,46.81631
1716745028,46.48191
1716745029,47.83174
1716745030,49.55661
1716745031,50.05919
1716745032,47.17855
1716745033,46.85337
1716745034,48.92925
1716745035,45.98478
1716745036,45.94333
1716745037,77.84113
1716745038,46.34184
1716745039,44.67347
1716745040,45.07825
1716745041,43.8103
1716745042,44.5853
1716745043,46.44272
1716745044,44.98077
1716745045,45.4585
1716745046,46.20179
1716745047,44.15301
1716745048,44.13273
1716745049,47.15576
1716745050,45.56853
1716745051,45.35285
1716745052,44.79629
1716745053,46.33169
1716745054,44.96501
1716745055,49.14447
1716745056,46.28161
1716745057,45.5058
1716745058,49.74568
1716745059,48.95344
1716745060,46.26069
1716745061,45.72555
1716745062,45.75208
1716745063,48.28555
1716745064,46.12159
1716745065,47.73612
1716745066,47.67184
1716745067,45.09668
1716745068,47.12184
1716745069,45.78283
1716745070,46.17247
1716745071,47.36051
1716745072,44.39046
1716745073,44.43881
1716745074,45.67394
1716745075,46.65082
1716745076,46.37555
1716745077,46.06119
1716745078,47.33798
1716745079,44.89782
1716745080,44.8579
1716745081,44.86995
1716745082,48.01935
1716745083,46.66163
1716745084,45.27386
1716745085,44.46808
1716745086,44.63396
1716745087,46.07117
1716745088,44.69213
1716745089,44.33485
1716745090,44.82151
1716745091,44.76872
1716745092,44.80476
1716745093,45.04146
1716745094,43.87497
1716745095,43.55051
1716745096,44.34477
1716745097,46.40575
1716745098,46.08749
1716745099,45.29578
1716745100,45.03829
1716745101,43.89573
1716745102,43.49639
1716745103,46.5139
1716745104,49.84066
1716745105,46.6005
1716745106,50.16927
1716745107,46.60085
1716745108,49.2675
1716745109,46.58506
1716745110,45.22424
1716745111,44.84766
1716745112,44.85918
1716745113,44.16318
1716745114,44.39114
1716745115,44.61206
1716745116,46.27177
1716745117,44.96919
1716745118,45.00168
1716745119,44.54597
1716745120,44.57741
1716745121,45.21725
1716745122,45.30186
1716745123,46.0029
1716745124,44.73493
1716745125,44.58749
1716745126,46.96179
1716745127,44.99234
1716745128,45.00992
