fps,et
1,1716744887
8,1716744888
21,1716744889
5,1716744890
0,1716744891
9,1716744892
0,1716744893
4,1716744894
8,1716744895
0,1716744896
2,1716744897
7,1716744898
0,1716744899
0,1716744900
2,1716744901
0,1716744902
0,1716744903
2,1716744904
0,1716744905
7,1716744906
0,1716744907
6,1716744908
0,1716744909
18,1716744910
3,1716744911
16,1716744912
27,1716744913
9,1716744914
4,1716744915
0,1716744916
9,1716744917
8,1716744918
5,1716744919
17,1716744920
0,1716744921
0,1716744922
12,1716744923
0,1716744924
0,1716744925
15,1716744926
9,1716744927
0,1716744928
11,1716744929
0,1716744930
16,1716744931
12,1716744932
3,1716744933
2,1716744934
0,1716744935
9,1716744936
1,1716744937
0,1716744938
0,1716744939
13,1716744940
6,1716744941
0,1716744942
11,1716744943
2,1716744944
0,1716744945
0,1716744946
0,1716744947
17,1716744948
5,1716744949
6,1716744950
10,1716744951
0,1716744952
0,1716744953
12,1716744954
24,1716744955
13,1716744956
11,1716744957
0,1716744958
0,1716744959
3,1716744960
10,1716744961
0,1716744962
0,1716744963
16,1716744964
2,1716744965
3,1716744966
2,1716744967
23,1716744968
20,1716744969
16,1716744970
3,1716744971
12,1716744972
21,1716744973
20,1716744974
18,1716744975
17,1716744976
20,1716744977
19,1716744978
21,1716744979
19,1716744980
18,1716744981
19,1716744982
19,1716744983
21,1716744984
19,1716744985
19,1716744986
20,1716744987
19,1716744988
18,1716744989
16,1716744990
20,1716744991
18,1716744992
9,1716744993
1,1716744994
0,1716744995
15,1716744996
13,1716744997
16,1716744998
10,1716744999
0,1716745000
0,1716745001
0,1716745002
9,1716745003
17,1716745004
20,1716745005
18,1716745006
20,1716745007
19,1716745008
19,1716745009
19,1716745010
18,1716745011
18,1716745012
18,1716745013
18,1716745014
19,1716745015
19,1716745016
18,1716745017
19,1716745018
13,1716745019
0,1716745020
0,1716745021
0,1716745022
21,1716745023
5,1716745024
10,1716745025
5,1716745026
2,1716745027
7,1716745028
10,1716745029
11,1716745030
12,1716745031
13,1716745032
11,1716745033
10,1716745034
12,1716745035
17,1716745036
21,1716745037
20,1716745038
18,1716745039
18,1716745040
12,1716745041
17,1716745042
17,1716745043
14,1716745044
17,1716745045
19,1716745046
7,1716745047
1,1716745048
22,1716745049
19,1716745050
20,1716745051
18,1716745052
19,1716745053
18,1716745054
20,1716745055
19,1716745056
19,1716745057
16,1716745058
15,1716745059
19,1716745060
20,1716745061
20,1716745062
19,1716745063
19,1716745064
18,1716745065
18,1716745066
19,1716745067
19,1716745068
19,1716745069
22,1716745070
18,1716745071
20,1716745072
17,1716745073
20,1716745074
16,1716745075
20,1716745076
18,1716745077
19,1716745078
20,1716745079
18,1716745080
19,1716745081
15,1716745082
19,1716745083
18,1716745084
21,1716745085
17,1716745086
19,1716745087
19,1716745088
19,1716745089
0,1716745090
10,1716745091
21,1716745092
19,1716745093
19,1716745094
20,1716745095
17,1716745096
17,1716745097
19,1716745098
20,1716745099
19,1716745100
21,1716745101
8,1716745102
0,1716745103
17,1716745104
20,1716745105
17,1716745106
16,1716745107
20,1716745108
19,1716745109
20,1716745110
19,1716745111
21,1716745112
20,1716745113
20,1716745114
18,1716745115
18,1716745116
20,1716745117
20,1716745118
20,1716745119
18,1716745120
18,1716745121
20,1716745122
18,1716745123
20,1716745124
19,1716745125
19,1716745126
20,1716745127
17,1716745128
1,1716745129
