et,brisque
1721398103,49.81646
1721398104,49.45365
1721398105,49.60346
1721398106,49.66376
1721398107,49.86728
1721398108,50.15582
1721398109,50.53795
1721398110,50.07325
1721398111,49.54412
1721398112,50.05383
1721398113,49.36885
1721398114,49.21144
1721398115,49.32529
1721398116,49.1433
1721398117,49.59742
1721398118,49.63699
1721398119,49.91865
1721398120,49.89484
1721398121,50.70342
1721398122,49.3148
1721398123,50.10283
1721398124,49.73363
1721398125,49.73224
1721398126,50.21447
1721398127,50.34173
1721398128,50.12397
1721398129,50.07598
1721398130,49.75787
1721398131,49.99539
1721398132,49.88645
1721398133,50.00141
1721398134,49.8592
1721398135,49.61386
1721398136,50.20563
1721398137,50.14136
1721398138,50.18827
1721398139,50.1256
1721398140,50.06955
1721398141,50.34883
1721398142,50.19007
1721398143,51.46039
1721398144,50.83591
1721398145,50.95963
1721398146,50.98125
1721398147,51.32428
1721398148,51.24019
1721398149,50.72764
1721398150,50.25829
1721398151,50.50433
1721398152,51.03683
1721398153,50.52749
1721398154,50.47214
1721398155,50.29323
1721398156,50.49035
1721398157,50.8949
1721398158,50.08537
1721398159,49.89795
1721398160,50.31455
1721398161,49.73867
1721398162,50.77745
1721398163,50.45134
1721398164,50.86084
1721398165,50.5802
1721398166,50.54878
1721398167,50.67098
1721398168,50.49117
1721398169,50.16962
1721398170,50.60818
1721398171,50.39259
1721398172,50.37908
1721398173,50.28066
1721398174,50.23947
1721398175,50.23196
1721398176,50.18782
1721398177,49.76607
1721398178,50.02471
1721398179,49.72508
1721398180,50.36177
1721398181,50.30353
1721398182,50.07037
1721398183,50.55797
1721398184,50.47529
1721398185,50.40419
1721398186,50.41659
1721398187,50.39056
1721398188,50.37177
1721398189,50.37203
1721398190,50.80486
1721398191,50.26098
1721398192,50.04052
1721398193,51.05331
1721398194,51.0873
1721398195,50.41845
1721398196,50.71803
1721398197,50.52602
1721398198,50.58985
1721398199,50.74943
1721398200,50.72273
1721398201,50.67534
1721398202,50.77021
1721398203,51.20263
1721398204,51.06828
1721398205,50.50588
1721398206,50.34635
1721398207,50.84437
1721398208,50.12018
1721398209,51.19259
1721398210,52.69396
1721398211,51.48132
1721398212,51.55128
1721398213,50.66422
1721398214,50.24869
1721398215,50.81843
1721398216,50.63054
1721398217,50.92395
1721398218,50.66567
1721398219,51.26614
1721398220,50.44795
1721398221,51.17643
1721398222,50.26715
1721398223,50.83966
1721398224,50.43958
1721398225,50.81547
1721398226,50.42597
1721398227,50.38246
1721398228,50.22723
1721398229,49.97988
1721398230,50.39619
1721398231,49.82286
1721398232,49.9867
1721398233,50.25182
1721398234,50.76698
1721398235,50.2938
1721398236,50.139
1721398237,50.5096
1721398238,50.43271
1721398239,49.74766
1721398240,50.36437
1721398241,49.73347
1721398242,49.88902
1721398243,49.73255
1721398244,49.70471
1721398245,49.90236
1721398246,50.08548
1721398247,49.89003
1721398248,49.75024
1721398249,50.03477
1721398250,49.31828
1721398251,49.72666
1721398252,49.73871
1721398253,49.7295
1721398254,49.24515
1721398255,49.56026
1721398256,49.40461
1721398257,49.32493
1721398258,49.72043
1721398259,49.81683
1721398260,49.81193
1721398261,50.73677
1721398262,50.56146
1721398263,52.02596
1721398264,51.5615
1721398265,51.13561
1721398266,51.29956
1721398267,51.46938
1721398268,50.72897
1721398269,51.20841
1721398270,51.13272
1721398271,51.00235
1721398272,51.05491
1721398273,50.84858
1721398274,50.67135
1721398275,51.06954
1721398276,50.58073
1721398277,51.1592
1721398278,50.20825
1721398279,50.24844
1721398280,50.80476
1721398281,50.15003
1721398282,50.38937
1721398283,50.91402
1721398284,50.56151
1721398285,50.74982
1721398286,50.9431
1721398287,50.95013
1721398288,50.14809
1721398289,50.5027
1721398290,50.83223
1721398291,50.34161
1721398292,50.00411
1721398293,50.27129
1721398294,50.64312
1721398295,50.52086
1721398296,50.48224
1721398297,50.66571
1721398298,50.53765
1721398299,50.67316
1721398300,50.96543
1721398301,51.44398
1721398302,50.93684
1721398303,50.19779
1721398304,50.77115
1721398305,50.92355
1721398306,51.23751
1721398307,51.13822
1721398308,51.31445
1721398309,50.98666
1721398310,50.69788
1721398311,51.5156
1721398312,51.16248
1721398313,51.21261
1721398314,50.57208
1721398315,50.30039
1721398316,50.72519
1721398317,50.53319
1721398318,50.70342
1721398319,50.83884
1721398320,50.9203
1721398321,50.24896
1721398322,49.81394
1721398323,51.31471
1721398324,50.83222
1721398325,50.97741
1721398326,50.99824
1721398327,50.89387
1721398328,50.49928
1721398329,51.14543
1721398330,50.69546
1721398331,51.25916
1721398332,50.48206
1721398333,51.29285
1721398334,50.82878
1721398335,49.95283
1721398336,50.31967
1721398337,49.49007
1721398338,49.82361
1721398339,49.43942
1721398340,50.55693
1721398341,50.57886
1721398342,49.36047
1721398343,49.96699
1721398344,50.2245
