fps,et,screenshots_num
3,1721398862,11
13,1721398863,41
14,1721398864,45
12,1721398865,46
13,1721398866,46
14,1721398867,46
13,1721398868,44
12,1721398869,46
12,1721398870,49
13,1721398871,46
14,1721398872,43
13,1721398873,44
13,1721398874,45
12,1721398875,46
14,1721398876,44
12,1721398877,48
12,1721398878,47
10,1721398879,47
13,1721398880,45
15,1721398881,47
12,1721398882,45
13,1721398883,46
15,1721398884,44
16,1721398885,42
13,1721398886,47
15,1721398887,44
13,1721398888,44
13,1721398889,46
11,1721398890,47
12,1721398891,47
13,1721398892,45
13,1721398893,46
12,1721398894,47
16,1721398895,43
13,1721398896,46
12,1721398897,48
14,1721398898,44
14,1721398899,46
14,1721398900,44
10,1721398901,49
13,1721398902,44
12,1721398903,46
13,1721398904,45
13,1721398905,46
12,1721398906,47
13,1721398907,45
12,1721398908,45
13,1721398909,46
14,1721398910,46
9,1721398911,49
12,1721398912,47
15,1721398913,45
14,1721398914,44
14,1721398915,44
13,1721398916,44
15,1721398917,45
10,1721398918,48
14,1721398919,44
15,1721398920,44
14,1721398921,43
15,1721398922,44
12,1721398923,46
11,1721398924,49
14,1721398925,44
13,1721398926,46
14,1721398927,46
12,1721398928,46
13,1721398929,49
12,1721398930,48
12,1721398931,47
14,1721398932,45
13,1721398933,43
14,1721398934,45
15,1721398935,42
14,1721398936,45
13,1721398937,46
9,1721398938,51
14,1721398939,44
12,1721398940,46
13,1721398941,44
14,1721398942,44
13,1721398943,45
12,1721398944,47
14,1721398945,46
11,1721398946,41
11,1721398947,30
14,1721398948,46
11,1721398949,49
15,1721398950,43
15,1721398951,44
15,1721398952,43
13,1721398953,45
10,1721398954,48
16,1721398955,45
12,1721398956,47
15,1721398957,44
10,1721398958,48
13,1721398959,43
15,1721398960,43
13,1721398961,43
15,1721398962,46
12,1721398963,47
14,1721398964,45
6,1721398965,53
12,1721398966,46
15,1721398967,43
14,1721398968,44
11,1721398969,46
15,1721398970,46
12,1721398971,46
15,1721398972,45
14,1721398973,45
13,1721398974,46
14,1721398975,43
10,1721398976,50
14,1721398977,48
14,1721398978,43
15,1721398979,45
15,1721398980,45
13,1721398981,45
13,1721398982,46
13,1721398983,45
14,1721398984,46
15,1721398985,44
12,1721398986,48
15,1721398987,45
9,1721398988,49
12,1721398989,48
15,1721398990,43
11,1721398991,48
14,1721398992,46
16,1721398993,42
15,1721398994,45
12,1721398995,46
15,1721398996,45
12,1721398997,48
11,1721398998,46
14,1721398999,47
15,1721399000,46
12,1721399001,46
12,1721399002,45
10,1721399003,50
11,1721399004,47
12,1721399005,49
9,1721399006,51
13,1721399007,49
12,1721399008,46
12,1721399009,48
10,1721399010,49
13,1721399011,48
12,1721399012,45
14,1721399013,44
18,1721399014,44
12,1721399015,48
12,1721399016,46
12,1721399017,48
15,1721399018,42
13,1721399019,49
15,1721399020,47
12,1721399021,47
11,1721399022,46
13,1721399023,48
14,1721399024,45
13,1721399025,44
13,1721399026,46
14,1721399027,47
14,1721399028,45
12,1721399029,46
15,1721399030,44
11,1721399031,50
12,1721399032,48
12,1721399033,45
14,1721399034,46
13,1721399035,48
13,1721399036,48
13,1721399037,47
12,1721399038,46
12,1721399039,47
12,1721399040,46
13,1721399041,43
13,1721399042,44
14,1721399043,46
12,1721399044,47
12,1721399045,46
14,1721399046,45
12,1721399047,48
12,1721399048,46
10,1721399049,48
15,1721399050,43
14,1721399051,48
13,1721399052,45
15,1721399053,44
11,1721399054,48
14,1721399055,47
12,1721399056,49
14,1721399057,45
13,1721399058,46
14,1721399059,44
16,1721399060,46
12,1721399061,47
12,1721399062,49
14,1721399063,47
11,1721399064,49
13,1721399065,45
11,1721399066,46
11,1721399067,47
15,1721399068,45
10,1721399069,49
12,1721399070,47
13,1721399071,49
13,1721399072,44
10,1721399073,49
12,1721399074,46
14,1721399075,45
14,1721399076,45
13,1721399077,47
9,1721399078,49
11,1721399079,48
12,1721399080,47
11,1721399081,48
15,1721399082,42
13,1721399083,47
14,1721399084,44
13,1721399085,46
10,1721399086,47
15,1721399087,44
15,1721399088,45
10,1721399089,48
13,1721399090,46
12,1721399091,47
10,1721399092,49
11,1721399093,47
13,1721399094,46
14,1721399095,45
14,1721399096,45
14,1721399097,48
13,1721399098,46
13,1721399099,43
10,1721399100,50
14,1721399101,44
11,1721399102,48
11,1721399103,48
