iter	RMSE
0	8.966650288
1	8.483450448
2	8.032991122
3	7.624876593
4	7.252118609
5	6.913248855
6	6.605874754
7	6.33277737
8	6.087065864
9	5.866511542
10	5.669230236
11	5.485826839
12	5.32682733
13	5.185761827
14	5.068978589
15	4.956042878
16	4.854836883
17	4.762161126
18	4.687678616
19	4.615680003
20	4.55290442
21	4.496238972
22	4.445524236
23	4.403598347
24	4.365122696
25	4.331641047
26	4.303234668
27	4.278932057
28	4.251659311
29	4.232646906
30	4.210107621
31	4.192548527
32	4.177900362
33	4.161404573
34	4.150317462
35	4.135911753
36	4.12465289
37	4.116138612
38	4.105525716
39	4.098548424
40	4.08860444
41	4.079845084
42	4.06944682
43	4.062943093
44	4.055741959
45	4.04871514
46	4.041167024
47	4.03550476
48	4.028432195
49	4.024205166
50	4.018328324
51	4.013160562
52	4.00731034
53	4.00365193
54	3.99999859
55	3.99671609
56	3.992776734
57	3.988243212
58	3.985532872
59	3.981392626
60	3.978490809
61	3.97553935
62	3.973166105
63	3.970416042
64	3.967941959
65	3.965798905
66	3.963868266
67	3.960064848
68	3.958040961
69	3.955783473
70	3.95346729
71	3.951444697
72	3.949407787
73	3.946674891
74	3.944301818
75	3.941750527
76	3.939929186
77	3.937531726
78	3.934551294
79	3.931978359
80	3.930562226
81	3.928181154
82	3.926075243
83	3.924786571
84	3.923108358
85	3.921463844
86	3.919121113
87	3.917520475
88	3.914673802
89	3.913475175
90	3.911518953
91	3.909898093
92	3.908493438
93	3.905561673
94	3.903301394
95	3.902690304
96	3.901694406
97	3.899906719
98	3.89869981
99	3.897510669
100	3.89636344
101	3.894836509
102	3.893323566
103	3.892586465
104	3.890506343
105	3.889306913
106	3.888467793
107	3.886076736
108	3.883881539
109	3.882239922
110	3.880872277
111	3.879685055
112	3.878573138
113	3.877319661
114	3.874651846
115	3.87279543
116	3.871872147
117	3.870861439
118	3.869992192
119	3.867171962
120	3.865177566
121	3.863628334
122	3.862049863
123	3.859581644
124	3.858552578
125	3.857468498
126	3.855794987
127	3.85404373
128	3.853275435
129	3.85214666
130	3.85043257
131	3.848999533
132	3.847351536
133	3.845405492
134	3.844029961
135	3.842167949
136	3.840420359
137	3.838820276
138	3.83807865
139	3.837396008
140	3.836808696
141	3.835313986
142	3.833670084
143	3.832933666
144	3.832113056
145	3.83069732
146	3.829448778
147	3.829335801
148	3.828110265
149	3.827591019
150	3.826103423
151	3.826020468
152	3.824931096
153	3.823509466
154	3.823414501
155	3.821871722
156	3.820783895
157	3.820410782
158	3.818695596
159	3.81850263
160	3.81737528
161	3.816417712
162	3.815141654
163	3.81432666
164	3.814208496
165	3.81338101
166	3.813279947
167	3.811015542
168	3.810957873
169	3.810018907
170	3.809908261
171	3.808611424
172	3.806761849
173	3.806673521
174	3.805768422
175	3.804926364
176	3.804181036
177	3.802899986
178	3.802523948
179	3.801690161
180	3.800279464
181	3.800143386
182	3.799434221
183	3.798328994
184	3.796902685
185	3.796010923
186	3.794612375
187	3.793546329
188	3.793000096
189	3.792049616
190	3.791309545
191	3.789878415
192	3.787974655
193	3.787215992
194	3.785672795
195	3.783922767
196	3.782276664
197	3.78135168
198	3.780063445
199	3.780020971
200	3.779006628
201	3.778382685
202	3.777154393
203	3.776403107
204	3.775633724
205	3.774242731
206	3.773161899
207	3.771811416
208	3.771501935
209	3.770458582
210	3.769622977
211	3.769062371
212	3.768333858
213	3.766969673
214	3.766222851
215	3.766143819
216	3.764813818
217	3.764343417
218	3.763345204
219	3.761813328
220	3.760215168
221	3.758857597
222	3.757498413
223	3.756330853
224	3.755279745
225	3.754005534
226	3.753000391
227	3.751939608
228	3.750659973
229	3.749798524
230	3.74905133
231	3.749006071
232	3.748973212
233	3.748419316
234	3.748387778
235	3.747633693
236	3.746715362
237	3.746031702
238	3.744922764
239	3.743780678
240	3.743082338
241	3.742377661
242	3.742347623
243	3.74153765
244	3.740241387
245	3.739150096
246	3.738237573
247	3.737587611
248	3.737095697
249	3.73581403
250	3.734833397
251	3.734793347
252	3.734351543
253	3.733022611
254	3.731508628
255	3.731051265
256	3.730450384
257	3.729441359
258	3.728584111
259	3.728066126
260	3.727535894
261	3.727496659
262	3.72718383
263	3.725138088
264	3.725101835
265	3.723874997
266	3.722582118
267	3.722539457
268	3.721430188
269	3.720591669
270	3.720551797
271	3.719390144
272	3.718900536
273	3.718471179
274	3.717351904
275	3.717319034
276	3.716091909
277	3.714920372
278	3.71385108
279	3.713475159
280	3.712584107
281	3.712063703
282	3.711562577
283	3.710980139
284	3.710730262
285	3.709697938
286	3.708991917
287	3.708362224
288	3.707383794
289	3.706878522
290	3.706254649
291	3.705595107
292	3.704748867
293	3.70429612
294	3.703398416
295	3.70274903
296	3.702379732
297	3.701345239
298	3.700423244
299	3.699439656
300	3.699412372
301	3.698731679
302	3.697396802
303	3.696547655
304	3.695450263
305	3.694769953
306	3.693879619
307	3.692655767
308	3.691909732
309	3.690758608
310	3.690111175
311	3.690081552
312	3.689128685
313	3.688431626
314	3.687745571
315	3.687061192
316	3.686536581
317	3.686065759
318	3.68543948
319	3.684524681
320	3.683033168
321	3.682316429
322	3.681738205
323	3.68172016
324	3.680768514
325	3.679808374
326	3.679426784
327	3.678829443
328	3.678275726
329	3.677801077
330	3.677249859
331	3.677220455
332	3.677203167
333	3.676542848
334	3.6757734
335	3.675391211
336	3.675362992
337	3.674837422
338	3.674076319
339	3.67336072
340	3.672831031
341	3.672113853
342	3.671454028
343	3.670916348
344	3.670165056
345	3.669595041
346	3.668965328
347	3.668406198
348	3.667709401
349	3.667266578
350	3.666600041
351	3.666575318
352	3.665741652
353	3.664875118
354	3.664214029
355	3.663658335
356	3.662907955
357	3.661912486
358	3.661304654
359	3.660535883
360	3.659912583
361	3.659487202
362	3.658563163
363	3.658275015
364	3.657588598
365	3.657172954
366	3.65646703
367	3.656112037
368	3.655382305
369	3.654735766
370	3.654084272
371	3.654068616
372	3.654055579
373	3.653266008
374	3.652044061
375	3.651216206
376	3.65073561
377	3.649993132
378	3.649426095
379	3.648241901
380	3.647625563
381	3.646918056
382	3.646280546
383	3.64525686
384	3.64471417
385	3.644163984
386	3.643727902
387	3.642873605
388	3.641917228
389	3.641381478
390	3.640783062
391	3.639597729
392	3.638623071
393	3.6386084
394	3.637825284
395	3.637055579
396	3.63638331
397	3.635880587
398	3.635256119
399	3.634633838
400	3.634189902
401	3.633500685
402	3.632886812
403	3.63231307
404	3.631771575
405	3.630857126
406	3.629579475
407	3.629181221
408	3.628755133
409	3.628735103
410	3.628253371
411	3.628039715
412	3.627679052
413	3.627043562
414	3.626359817
415	3.625612343
416	3.624638638
417	3.623943917
418	3.62302509
419	3.622554567
420	3.621994626
421	3.621464075
422	3.620952676
423	3.620261945
424	3.61941619
425	3.618931597
426	3.618391685
427	3.618372939
428	3.617493556
429	3.617159461
430	3.616160684
431	3.615738604
432	3.615339611
433	3.614718764
434	3.614346985
435	3.614334887
436	3.613663523
437	3.613017227
438	3.612659058
439	3.612212817
440	3.611738241
441	3.611461787
442	3.610539646
443	3.610134174
444	3.609772226
445	3.6093383
446	3.608996524
447	3.608985049
448	3.608601167
449	3.608077134
450	3.607606501
451	3.606844348
452	3.606563948
453	3.605977424
454	3.605363377
455	3.604529492
456	3.603454786
457	3.602747619
458	3.602735903
459	3.601780046
460	3.601130987
461	3.600755185
462	3.600190581
463	3.599265934
464	3.598913696
465	3.598363534
466	3.597879334
467	3.596958992
468	3.596361989
469	3.595802838
470	3.594948596
471	3.594180605
472	3.593830975
473	3.593532301
474	3.592454346
475	3.591877294
476	3.591210578
477	3.590146014
478	3.589582737
479	3.589081807
480	3.588174771
481	3.58741348
482	3.58706406
483	3.586416043
484	3.586049608
485	3.585582558
486	3.585573503
487	3.585157058
488	3.584455331
489	3.584113667
490	3.58365939
491	3.583113358
492	3.582178032
493	3.581334747
494	3.580917024
495	3.580562851
496	3.580553709
497	3.580232825
498	3.579410211
499	3.579095593
500	3.578738574
501	3.578203946
502	3.577747376
503	3.57727282
504	3.576672483
505	3.576279638
506	3.575903046
507	3.575194829
508	3.57483921
509	3.574460265
510	3.573892675
511	3.573590405
512	3.573582184
513	3.573181539
514	3.572490403
515	3.572251393
516	3.571713799
517	3.571705509
518	3.571399912
519	3.571391854
520	3.571383679
521	3.571376635
522	3.570888736
523	3.570565438
524	3.569864225
525	3.569198497
526	3.569193432
527	3.568338773
528	3.567673879
529	3.567026947
530	3.56679222
531	3.566292076
532	3.566285473
533	3.565578055
534	3.565283034
535	3.564741487
536	3.563988376
537	3.563364032
538	3.562853384
539	3.562476503
540	3.562026203
541	3.562019914
542	3.561574248
543	3.561043405
544	3.56099307
545	3.56038853
546	3.559956666
547	3.559445504
548	3.558949417
549	3.55855406
550	3.557879909
551	3.557466057
552	3.557241158
553	3.556972552
554	3.556714306
555	3.555848294
556	3.554716005
557	3.554709693
558	3.554407697
559	3.553959328
560	3.553649807
561	3.553193432
562	3.552632862
563	3.552225859
564	3.551458275
565	3.551076225
566	3.550575516
567	3.550229553
568	3.550222867
569	3.549800894
570	3.549181608
571	3.549169875
572	3.54860821
573	3.548128013
574	3.547448452
575	3.546986869
576	3.546289999
577	3.546013521
578	3.545605289
579	3.545191225
580	3.544828725
581	3.54433835
582	3.543833004
583	3.543471894
584	3.54302115
585	3.542716607
586	3.542355921
587	3.541718695
588	3.541009365
589	3.540746195
590	3.539879609
591	3.539562506
592	3.538846176
593	3.538356037
594	3.538013715
595	3.537398083
596	3.537178452
597	3.536568449
598	3.535891609
599	3.535595325
600	3.535250779
601	3.534828171
602	3.534130468
603	3.533850546
604	3.533196287
605	3.532826592
606	3.532159296
607	3.531432756
608	3.530577119
609	3.529884037
610	3.529752246
611	3.529086019
612	3.528740094
613	3.52803514
614	3.527453564
615	3.527078798
616	3.526627856
617	3.525989396
618	3.525497917
619	3.524773456
620	3.524190818
621	3.523939307
622	3.523326469
623	3.523303573
624	3.522174647
625	3.521525962
626	3.521246939
627	3.520785336
628	3.520247482
629	3.519836114
