iter	Passed	Remaining
0	1	1812
1	3	1739
2	5	1663
3	6	1627
4	8	1615
5	9	1596
6	11	1593
7	12	1596
8	14	1592
9	16	1594
10	17	1609
11	19	1611
12	20	1592
13	22	1584
14	23	1575
15	25	1567
16	26	1558
17	28	1549
18	29	1537
19	31	1532
20	32	1528
21	34	1522
22	35	1518
23	37	1515
24	38	1506
25	39	1498
26	41	1491
27	42	1486
28	44	1486
29	45	1482
30	47	1480
31	48	1474
32	50	1471
33	51	1465
34	53	1462
35	54	1457
36	55	1451
37	57	1454
38	58	1449
39	60	1442
40	61	1439
41	62	1436
42	64	1433
43	65	1428
44	67	1427
45	68	1424
46	70	1426
47	71	1427
48	73	1424
49	74	1423
50	76	1418
51	77	1415
52	79	1412
53	80	1407
54	81	1407
55	83	1403
56	84	1402
57	86	1400
58	87	1399
59	89	1395
60	90	1391
61	91	1389
62	93	1386
63	94	1383
64	96	1381
65	97	1381
66	99	1381
67	100	1379
68	102	1377
69	103	1374
70	104	1371
71	106	1370
72	107	1368
73	109	1364
74	110	1363
75	111	1361
76	113	1358
77	114	1356
78	116	1355
79	117	1354
80	119	1351
81	120	1348
82	121	1345
83	123	1342
84	124	1340
85	125	1338
86	127	1336
87	128	1334
88	130	1333
89	131	1331
90	132	1328
91	134	1326
92	135	1325
93	137	1323
94	138	1320
95	139	1318
96	141	1316
97	142	1314
98	144	1313
99	145	1311
100	147	1309
101	148	1308
102	150	1307
103	151	1305
104	153	1305
105	154	1302
106	155	1300
107	157	1298
108	158	1296
109	160	1295
110	161	1292
111	162	1291
112	164	1289
113	165	1288
114	167	1286
115	168	1285
116	170	1283
117	171	1280
118	172	1279
119	174	1276
120	175	1274
121	176	1273
122	178	1271
123	179	1269
124	181	1267
125	182	1264
126	183	1262
127	185	1261
128	186	1260
129	188	1259
130	189	1257
131	190	1255
132	192	1254
133	193	1252
134	195	1250
135	196	1248
136	197	1246
137	199	1244
138	200	1241
139	202	1241
140	203	1238
141	204	1236
142	205	1234
143	207	1231
144	208	1229
145	209	1227
146	211	1224
147	212	1222
148	213	1221
149	215	1219
150	216	1218
151	218	1216
152	219	1214
153	220	1212
154	222	1212
155	223	1210
156	225	1208
157	226	1207
158	227	1205
159	229	1203
160	230	1202
161	232	1200
162	233	1199
163	234	1197
164	236	1196
165	237	1194
166	238	1191
167	240	1191
168	241	1188
169	243	1187
170	244	1185
171	246	1184
172	247	1182
173	248	1180
174	250	1179
175	251	1178
176	252	1176
177	254	1174
178	255	1172
179	256	1170
180	258	1169
181	259	1167
182	261	1165
183	262	1164
184	263	1162
185	265	1160
186	266	1159
187	268	1157
188	269	1155
189	270	1154
190	272	1153
191	273	1152
192	275	1151
193	276	1149
194	278	1148
195	279	1147
196	281	1146
197	282	1145
198	284	1146
199	286	1144
200	287	1141
201	288	1139
202	289	1138
203	291	1136
204	292	1134
205	294	1133
206	295	1131
207	296	1130
208	298	1128
209	299	1126
210	300	1125
211	302	1123
212	303	1121
213	305	1121
214	306	1119
215	307	1117
216	309	1116
217	310	1114
218	312	1113
219	313	1111
220	314	1109
221	316	1108
222	317	1106
223	319	1105
224	320	1103
225	321	1102
226	323	1100
227	324	1099
228	326	1097
229	327	1096
230	328	1094
231	329	1092
232	331	1090
233	332	1088
234	333	1086
235	335	1085
236	336	1083
237	338	1082
238	339	1080
239	340	1079
240	342	1077
241	343	1076
242	344	1074
243	346	1072
244	347	1071
245	348	1069
246	350	1067
247	351	1066
248	353	1065
249	354	1063
250	356	1062
251	357	1060
252	358	1058
253	360	1057
254	361	1056
255	363	1055
256	364	1053
257	365	1051
258	366	1049
259	368	1047
260	369	1046
261	371	1045
262	372	1043
263	373	1042
264	375	1040
265	376	1038
266	377	1037
267	379	1035
268	380	1034
269	381	1032
270	383	1030
271	384	1028
272	385	1027
273	387	1025
